Titel;DOI
Influence of wood moisture content on the hardened state properties of geopolymer wood composites;10.1016/j.compositesa.2021.106680
A set of nuclear SNP loci derived from single sample double digest RAD and from pool sequencing for large-scale genetic studies in the European beech Fagus sylvatica;10.1007/s12686-022-01256-5
novel and diverse set of SNP markers for rangewide genetic studies in Picea abies;10.1007/s12686-022-01276-1
Large-scale genetic structure of Quercus robur in its eastern distribution range enables assignment of unknown seed sources;10.1093/forestry/cpac009
High phenotypic plasticity, but low signals of local adaptation to climate in a large-scale transplant experiment of Picea abies (L.) Karst. in Europe;10.3389/ffgc.2022.804857
Female self-incompatibility type in heterostylous Primula is determined by the brassinosteroid-inactivating cytochrome P450 CYP734A50;10.1016/j.cub.2021.11.046
Growing stock monitoring by European National Forest Inventories: Historical origins, current methods and harmonisation;10.1016/j.foreco.2021.119868
Restoration of tropical montane cloud forest in bracken dominated pastures: The role of nurse shrubs;10.1016/j.foreco.2022.120055
The contributions of biomass supply for bioenergy in the Post-COVID-19 recovery;10.3390/en14248415
Using airborne laser scanning to characterize land-use systems in a tropical landscape based on vegetation structural metrics;10.3390/rs13234794
Weather-growth responses show differing adaptability of scots pine provenances in the South-Eastern parts of Baltic Sea Region;10.3390/f12121641
Targeted CRISPR/Cas9-based knock-out of the rice orthologs TILLER ANGLE CONTROL 1 (TAC1) in poplar induces erect leaf habit and shoot growth;10.3390/f12121615
Mapping amazon forest productivity by fusing GEDI lidar waveforms with an individual-based forest model;10.3390/rs13224540
Impact of gene flow and introgression on the range wide genetic structure of Quercus robur (L.) in Europe;10.3390/f12101425
Effects of temporal crop diversification of a cereal-based cropping system on generalist predators and their biocontrol potential;10.3389/fagro.2021.704979
Overcoming key barriers for secondary cloud forest management in Mexico;10.3390/land10101078
"Response to Comments on ""Recent global decline of CO2 fertilization effects on vegetation photosynthesis""";10.1126/science.abg7484
Good agreement between modeled and measured sulfur and nitrogen deposition in Europe, in spite of marked differences in some sites;10.3389/fenvs.2021.734556
Forest owners’ preferences for contract-based management to enhance environmental values versus timber production;10.1016/j.forpol.2021.102587
Estimating global forest-based employment;10.3390/f12091219
Hydrological soil properties control tree regrowth after forest disturbance in the forest steppe of central Mongolia;10.5194/soil-7-563-2021
Hydraulic properties of forest soils with stagnic conditions;10.3390/f12081113
South-Eastern baltic provenances of scots pine show heritable weather-growth relationships;10.3390/f12081101
"Editorial for the special issue ""Towards the bioeconomy: The role of traditional and emerging products and supporting actions""";10.1016/j.forpol.2021.102573
Additionality and leakage resulting from PES implementation? Evidence from the Ecuadorian Amazonia;10.3390/f12070906
Contrasting resource dynamics in mast years for European beech and oak - A continental scale analysis;10.3389/ffgc.2021.689836
Oaks as beacons of hope for threatened mixed forests in Central Europe;10.3389/ffgc.2021.670797
Deciphering the epigenetic alphabet involved in transgenerational stress memory in crops;10.3390/ijms22137118
National wood fiber balances for the pulp and paper sector: An approach to supplement international forest products statistics;10.1016/j.forpol.2021.102540
Genomic analysis of the endophytic stenotrophomonas strain 169 reveals features related to plant-growth promotion and stress tolerance;10.3389/fmicb.2021.687463
Nonlinear weather-growth relationships suggest disproportional growth changes of Norway spruce in the Eastern Baltic region;10.3390/f12060661
Modelling the material resistance of wood - Part 3: relative resistance in above- and in-ground situations - results of a global survey;10.3390/f12050590
Modeling the material resistance of wood - part 2: validation and optimization of the Meyer-Veltrup model;10.3390/f12050576
Density profile analysis of laminated beech veneer lumber (BauBuche);10.3390/fib9050031
The timber footprint of the German bioeconomy - state of the art and past development;10.3390/su13073878
Modelling the productivity of Siberian larch forests from Landsat NDVI time series in fragmented forest stands of the Mongolian forest-steppe;10.1007/s10661-021-08996-1
Household-level determinants of participation in forest support programmes in the Miombo landscapes, Zambia;10.3390/su13052713
Estimating supply and demand elasticities of dissolving pulp, lignocellulose-based chemical derivatives and textile fibres in an emerging forest-based bioeconomy;10.1016/j.forpol.2021.102422
Spatial distribution of forest ecosystem service benefits in Germany: A multiple benefit-transfer model;10.3390/f12020169
The diversity and dynamics of sex determination in dioecious plants;10.3389/fpls.2020.580488
Welche Faktoren begünstigen illegalen Holzeinschlag?;10.3220/PB1625483994000
Which factors are associated with illegal logging?;10.3220/PB1625484480000
Copernicus Netzwerkbüro Wald;10.3220/PB1636453334000
Technische Dokumentation zum Modell ReWaLe (Regionalisierung des ökonomischen Wertes von Waldleistungen);10.3220/WP1627892080000
Examples of Water and Land Use Management;10.1007/978-3-030-60147-8_19
Tree health is deteriorating in the European forests;10.3220/ICP1638780772000
"Forest Condition in Europe : The 2021 Assessment ; ICP Forests Technical Report under the UNECE Convention on Long-range Transboundary Air Pollution (Air Convention)";10.3220/ICPTR1624952851000
Simulation of resistance to dispersal of arthropods and plants in an agricultural landscape;10.24355/dbbs.084-202108120758-0
Können regionale Landnutzungspolitiken die Entwaldung in Sambia reduzieren?;10.3220/PB1631609121000
Can regional land use management policies reduce deforestation in Zambia?;10.3220/PB1631609911000
Wild bee assemblages on wildflower strips: Data resolution and spatial scale are key to disentangling effects of landscape structure and agricultural practices;10.24355/dbbs.084-202108120758-0
Is PES stopping deforestation or is it just shifting it?;10.3220/PB1631695981000
Stoppt PES die Entwaldung oder verlagert es sie nur?;10.3220/PB1631695342000
Recent and future forest mortality in Germany - what will come after the spruce age?;10.24355/dbbs.084-202108120758-0
pH-Werte deutscher Böden auf Wald- und Agrarflächen;10.3220/CA1632825232000
Zellstoff- und Papierbilanzen zur Ergänzung internationaler Statistiken;10.3220/PB1628154971000
Pulp and paper balances to supplement international statistics;10.3220/PB1628156973000
Methoden zur Messung der nassen Quecksilberdeposition unter dem Kronendach von Wäldern;10.3220/PB1628688672000
Multitalent Wald: Naturschutz als Ökosystemleistung;10.3220/CA1628756992000
The diversity of soil biota processes, functions and ecosystem services in land use systems;10.24355/dbbs.084-202108120758-0
Forest fire history in Germany (2001-2020);10.3220/PB1636643380000
Waldbrandhistorie in Deutschland (2001-2020);10.3220/PB1636642797000
Techniques for the measurement of wet mercury depositions under forest canopy;10.3220/PB1629705718000
Multitalented forests: nature conservation as an ecosystem service;10.3220/CA1636635869000
Multitalented forests: recreation as an ecosystem service;10.3220/CA1636635811000
Multitalented forests: climate protection as an ecosystem service;10.3220/CA1636635747000
National Forestry Accounting Plan for Germany - annotated and revised edition;10.3220/WP1639056992000
Emissionen flüchtiger organischer Verbindungen von Holz und Holzwerkstoffen;10.3220/REP1622449526000
Analyse der forstlichen Landnutzung;10.1007/978-3-658-18671-5
Gesellschaftliche Bewertung der Landnutzungsstrategien;10.1007/978-3-658-18671-5
Ist-Situation der Landnutzung in Deutschland;10.1007/978-3-658-18671-5
Entwicklung des Forstbetrieblichen Simulationsmodells FoBeSiMo;10.1007/978-3-658-18671-5
Modellgestützte Wirkungsanalysen ausgewählter Maßnahmen und Strategien;10.1007/978-3-658-18671-5
Anhang;10.1007/978-3-658-18671-5
Identifizierung von für Deutschland relevanten Baumarten im Klimawandel und länderübergreifendes Konzept zur Anlage von Vergleichsanbauten - Empfehlungen der Bund-Länder-Arbeitsgruppe „Forstliche Genressourcen und Forstsaatgutrecht“ zu den Arbeitsaufträgen der Waldbaureferenten;10.3220/WP1617712541000
Kompetenzentwicklung im peruanischen Forst- und Holzwirtschaftssektor : Beitrag zu den Umweltzielen Perus - ProAmbiente II;10.3220/PB1607003313000
Effects of ozone on vegetation are modified by nitrogen and factors of climate change;10.3220/PB1618491100000
Stickstoff und Klimawandel verändern die Auswirkungen von Ozon auf die Vegetation;10.3220/PB1618832963000
Techniques for work with plant and soil nematodes;10.1079/97817863911759.0000
Multitalent Wald: Klimaschutz als Ökosystemleistung;10.3220/CA1612261157000
Junge Fichten aus trockenen Regionen leiden weniger unter Trockenstress;10.3220/PB1622452332000
Is participation in forest programs in Zambia’s Miombo skewed towards poorer households?;10.3220/PB1620197330000
Effects of historical landscape structure on current community trait composition of plants and arthropods in Central European grasslands;10.24355/dbbs.084-202108120758-0
Application of RNAi technology in forest trees;10.1079/9781789248890.0000
Coming from dry regions Norway spruce seedlings suffer less under drought;10.3220/PB1623066406000
Geoecological parameters indicate discrepancies between potential and actual forest area in the forest-steppe of Central Mongolia;10.1186/s40663-021-00333-9
Rosliny inwazyjne lasów miejskich Berlina - problemy gospodarcze zwiazane z wybranymi gatunkami oraz metody ich zwalczania;10.17306/J.AFW.2021.1.6
Performance of a specialist and a generalist herbivorous moth on different Quercus robur genotypes;10.3390/IECPS2020-08592
Understanding smallholder farmer decision making in forest land restoration using agent-based modeling;10.18174/sesmo.2021a18036
Nitrate uptake and carbon exudation - do plant roots stimulate or inhibit denitrification?;10.1007/s11104-020-04750-7
Developing competences for the Peruvian forestry and woodworking sector : contribution to the environmental objectives of Peru - ProAmbiente II;10.3220/PB1607003887000
Genetic comparison of planted and natural Quercus robur stands in Russia;10.2478/sg-2021-0001
Genome-wide bioinformatics analysis revealed putative substrate specificities of SABATH and MES family members in silver birch (Betula pendula);10.2478/sg-2021-0005
Towards new seed orchard designs in Germany - A review;10.2478/sg-2021-0007
The genetic basis of sex determination in Populus provides molecular markers across the genus and indicates convergent evolution;10.2478/sg-2021-0012
Sustainable Agriculture through Multidisciplinary Seed Nanopriming: Prospects of Opportunities and Challenges;10.3390/cells10092428
Climate condition affects foliar nutrition in main European tree species;10.1016/j.ecolind.2021.108052
Effect of phenol-formaldehyde (PF) resin oligomer size on the decay resistance of beech wood;10.1515/hf-2020-0020
Exploring controls of timber stock residence times in storage after severe storm events;10.1007/s10342-020-01310-7
Institutional quality, economic development and illegal logging: a quantitative cross-national analysis;10.1007/s10342-021-01382-z
Genetic diversity of seeds from four German Douglas fir (Pseudotsuga menziesii) seed orchards;10.1007/s10342-021-01419-3
Effects of household-level attributes and agricultural land-use on deforestation patterns along a forest transition gradient in the Miombo landscapes, Zambia;10.1016/j.ecolecon.2021.107070
Small-scale genetic structure and mating patterns in an extensive sessile oak forest (Quercus petraea (Matt.) Liebl.);10.1002/ece3.7613
Body size and tree species composition determine variation in prey consumption in a forest-inhabiting generalist predator;10.1002/ece3.7659
Wood emissions and asthma development: Results from an experimental mouse model and a prospective cohort study;10.1016/j.envint.2021.106449
Transcriptome analysis of North American sweet birch (Betula lenta) revealed a higher expression of genes involved in the biosynthesis of secondary metabolites than European silver birch (B. pendula);10.1007/s10265-021-01343-y
Optimization of an Untargeted DART-HRMS Method Envisaging Identification of Potential Markers for Saffron Authenticity Assessment;10.3390/foods10061238
The GenTree Platform: growth traits and tree-level environmental data in 12 European forest tree species;10.1093/gigascience/giab010
Ozone critical levels for (semi-)natural vegetation dominated by perennial grassland species;10.1007/s11356-020-11724-w
A rapid rise in relative sea level ~9-7 cal ka bp along the SW Cumbria coast, NW England;10.1002/jqs.3321
Hybridisation of Tarenaya;10.17660/ActaHortic.2021.1327.3
Methyl salicylate as a signaling compound that contributes to forest ecosystem stability;10.1007/s00468-021-02191-y
"""Lianification"" or liana invasion - is there a difference?";10.1002/fee.2393
Genetic diversity and differentiation among populations of the pedunculate oak (Quercus robur) at the eastern margin of its range based on a new set of 95 SNP loci;10.1007/s11676-020-01265-w
Influence of wood pretreatment and fly ash particle size on the performance of geopolymer wood composite;10.1007/s00107-021-01671-9
Setting aside forests or harvesting them for bioenergy: Short-term benefits for climate protection are still unknown;10.1111/gcbb.12769
Interplay of governance elements and their effects on deforestation in tropical landscapes: Quantitative insights from Ecuador;10.1016/j.worlddev.2021.105665
"Die Anpassung von Wäldern und Waldwirtschaft an den Klimawandel : Gutachten des Wissenschaftlichen Beirates für Waldpolitik ; Oktober 2021";10.12767/buel.vi233
Multi-actor perspectives on afforestation and reforestation strategies in Central Europe under climate change;10.1007/s13595-021-01044-5
Plant sex chromosomes defy evolutionary models of expanding recombination suppression and genetic degeneration;10.1038/s41477-021-00884-3
Three-dimensional imaging of xylem at cell wall level through near field nano holotomography;10.1038/s41598-021-83885-8
Mixing of tree species is especially beneficial for biodiversity in fragmented landscapes, without compromising forest functioning;10.1111/(ISSN)1365-2664
Analysis of land use land cover dynamics and driving factors in desa’a forest in Northern Ethiopia;10.1016/j.landusepol.2020.105039
Spartina alterniflora invasions reduce soil fungal diversity and simplify co-occurrence networks in a salt marsh ecosystem;10.1016/j.scitotenv.2020.143667
Climate sensitivity and drought seasonality determine post-drought growth recovery of Quercus petraea and Quercus robur in Europe;10.1016/j.scitotenv.2021.147222
European oak chemical diversity - from ecotypes to herbivore resistance;10.1111/nph.17608
POWDERY MILDEW RESISTENT4-dependent cell wall deposition is a consequence but not the cause of temperature-induced autoimmunity;10.1093/jxb/erab423
Functional trait relationships demonstrate life strategies in terrestrial prokaryotes;10.1093/femsec/fiab068
Research trends: Tropical dry forests: The neglected research agenda?;10.1016/j.forpol.2020.102333
Neighbourhood effect of faba bean (Vicia faba L.) on density of vegetation-dwelling natural biocontrol agents in winter wheat;10.1016/j.biocontrol.2021.104673
Phylogenetic signatures in reflected foliar spectra of regenerating plants in Neotropical forest gaps;10.1016/j.rse.2020.112172
Genetic diversity and differentiation of northern populations of pedunculate oak based on analysis of new SNP markers;10.1134/S1022795421030054
Overstorey composition shapes across-trophic level community relationships in deciduous forest regardless of fragmentation context;10.1111/1365-2745.13580
Biomass flow in bioeconomy: Overview for Germany;10.1016/j.rser.2021.111449
Conversion factors for residential wood energy in the European Union: an introduction to harmonizing units of measurement;10.1016/j.rser.2020.110491
Many small rather than few large sources identified in long-term bee pollen diets in agroecosystems;10.1016/j.agee.2020.107296
Introduction of shock wave technology to fir wood preservation;10.1080/20426445.2020.1838215
Effect of blowing agent concentration on rigid polyurethane foam and the properties of foam-core particleboard;10.1080/17480272.2019.1626480
High-energy multiple impact (HEMI) tests of wood-polypropylene composites: new insights in structural integrity;10.1080/17480272.2020.1737962
Phylogenetic dynamics of Tropical Atlantic Forests;10.1007/s10682-020-10094-6
Klimaschutz mit Wald : Speicherung von Kohlenstoff im Ökosystem und Substitution fossiler Brennstoffe;10.11576/biuz- 4103
The GenTree Leaf Collection: Inter- and intraspecific leaf variation in seven forest tree species in Europe;10.1111/geb.13239
High plasticity in germination and establishment success in the dominant forest tree Fagus sylvatica across Europe;10.1111/geb.13320
Development of new SNP and INDEL loci for the valuable African timber species Lophira alata;10.1007/s12686-020-01173-5
Applying targeted genotyping by sequencing with a new set of nuclear and plastid SNP and indel loci for Quercus robur and Quercus petraea;10.1007/s12686-021-01207-6
Microbial activity and root carbon inputs are more important than soil carbon diffusion in simulating soil carbon profiles;10.1029/2020JG006205
Tree diversity and timber productivity in planted forests: Pinus patula versus mixed cloud forest species;10.1007/s11056-020-09787-1
Interfacial bonding properties of the eco-friendly geopolymer-wood composites: influences of embedded wood depth, wood surface roughness, and moisture conditions;10.1007/s10853-021-05775-8
Ascription of the differences between Germany and Uganda’s Land Use, Land-Use Change, and Forestry sector greenhouse gas methodologies for inventory improvement;10.1007/s11027-021-09957-2
Editorial: Advances and challenges of RNAi based technologies for plants;10.3389/fpls.2021.680242
Non-linear regional weather-growth relationships indicate limited adaptability of the eastern Baltic Scots pine;10.1016/j.foreco.2020.118600
Spaceborne height models reveal above ground biomass changes in tropical landscapes;10.1016/j.foreco.2021.119497
Large differences in plant nitrogen supply in German and Swedish forests - Implications for management;10.1016/j.foreco.2020.118899
How can forest funding instruments be designed so that they are accepted by forest owners?;10.23765/afjz0002064
Modelling bioeconomy scenario pathways for the forest products markets with emerging lignocellulosic products;10.3390/su122410540
Genetic variation, phylogenetic relationship and spatial distribution of ‘Candidatus Phytoplasma ulmi’ strains in Germany;10.1038/s41598-020-78745-w
Current state and drivers of arable plant diversity in conventionally managed farmland in Northwest Germany;10.3390/d12120469
DNA of centuries-old timber can reveal its origin;10.1038/s41598-020-77387-2
Optimising nutrient cycles to improve food security in smallholder farming families - A case study from banana-coffee-based farming in the Kagera region, NW Tanzania;10.3390/su12219105
What drives household deforestation decisions? Insights from the Ecuadorian lowland rainforests;10.3390/f11111131
Analyzing ash leaf-colonizing fungal communities for their biological control of Hymenoscyphus fraxineus;10.3389/fmicb.2020.590944
Identification and analysis of key genes involved in methyl salicylate biosynthesis in different birch species;10.1371/journal.pone.0240246
Mitochondrial genome of Fagus sylvatica L. as a source for taxonomic marker development in the Fagales;10.3390/plants9101274
Geographic variations of the wood density and fiber dimensions of the Persian oak wood;10.3390/f11091003
Comparison of methods for the estimation of total inorganic nitrogen deposition to forests in Germany;10.3389/ffgc.2020.00103
Forest landscape restoration - What generates failure and success?;10.3390/f11090938
Development of nuclear SNP markers for Mahogany (Swietenia spp.);10.1007/s12686-020-01162-8
Determination of mesopores in the wood cell wall at dry and wet state;10.1038/s41598-020-65066-1
Predicting the geographic origin of Spanish Cedar (Cedrela odorata L.) based on DNA variation;10.1007/s10592-020-01282-6
Themenheft: Pyrrolizidinalkaloide in Arznei- und Gewürzpflanzen;10.5073/JfK.2020.04
Comparison of estimators of variance for forest inventories with systematic sampling - results from artificial populations;10.1186/s40663-020-00223-6
Multifunctionality of forests: a white paper on challenges and opportunities in China and Germany;10.3390/f11030266
The structural gravity model and its implications on global forest product trade;10.3390/f11020178
Traceability matters: A conceptual framework for deforestation-free supply chains applied to soy certification;10.1108/SAMPJ-04-2019-0145
"Auswirkungen aktueller Politikstrategien (Green Deal, Farm-to-Fork, Biodiversitätsstrategie 2030; Aktionsprogramm Insektenschutz) auf Land- und Forstwirtschaft sowie Fischerei";10.3220/WP1600775202000
Ernährungssituation von Bäumen verändert Klima-Wachstums-Beziehung;10.3220/PB1601280403000
Deforestation in Zambia’s Miombo: Does governance play a notable role?;10.3220/PB1603793282000
Increased evidence of nutrient imbalances in forest trees across Europe;10.3220/ICP1597824383000
Assessment of possible leakage effects of implementing EU COM proposals for the EU Biodiversity Strategy on forests and forest management in non-EU countries;10.3220/WP1604416717000
Provision of multiple ecosystem services in the tropical lowland forests of Ecuador;10.3220/PB1604584199000
Abschätzung möglicher Verlagerungseffekte durch Umsetzung der EU-KOM-Vorschläge zur EU-Biodiversitätsstrategie auf Forstwirtschaft und Wälder in Drittstaaten;10.3220/WP1604417204000
Provisión de múltiples servicios ecosistémicos en los bosques de tierras bajas de Ecuador;10.3220/PB1604584861000
Regionalisierte Bewertung der Waldleistungen;10.3220/PB1607428258000
Spatial valuation of forest services in Germany;10.3220/PB1607428679000
Primärwaldverlust bis 2030 stoppen: UNFCCC REDD+ und Entwaldungsfreie Lieferketten;10.3220/PB1587381727000
Towards ending natural forest loss by 2030: UNFCCC REDD+ and deforestation-free supply chains;10.3220/PB1587381393000
Overview of current practices in data analysis for wood identification : A guide for the different timber tracking methods;10.13140/RG.2.2.21518.79689
Pilotbericht zum Monitoring der deutschen Bioökonomie;10.17170/kobra-202005131255
Citizen Science - Neues Beteiligungsformat für die Forschung zur Agrar-, Forst-, Fischereiwirtschaft und zu ländlichen Räumen?;10.3220/WP1589785971000
Auswirkungen der Europäischen Holzhandelsverordnung auf Importeure von Holzerzeugnissen in Deutschland - Design und Ergebnisse einer Befragung;10.3220/WP1587970140000
Scientific methods for taxonomic and origin identification of timber;10.13140/RG.2.2.28416.46087
Successful global partnerships : a guide focused on timber tracking research;10.13140/RG.2.2.33528.26881
Multitalented forests: raw wood as an ecosystem service;10.3220/CA1636635674000
Regionalisierte Bewertung der Waldleistungen in Deutschland;10.3220/REP1598274305000
Zambian Miombo ecoregion: No international forestry agenda without the chiefs?;10.3220/PB1598271144000
Verflechtungen der Forst-, Holz- und Papierwirtschaft mit den kritischen Infrastrukturen in Deutschland (KRITIS);10.3220/WP1593761759000
Holzbilanzen 2017 bis 2019 für die Bundesrepublik Deutschland;10.3220/WP1598873344000
Ein Vergleich unterschiedlicher Vorschläge zur Honorierung der Klimaschutzleistung der Wälder;10.3220/WP1598532686000
Erarbeiten eines objektiven Verfahrens unter Berücksichtigung der Besonderheiten von Holz und Holzwerkstoffen bei der Bewertung ihres Einflusses auf die Innenraumluftqualität (HoInRaLu), TV 1: Untersuchungen unter realen Raumluftbedingungen;10.3220/REP1598858077000
Ein Konzept zur Honorierung der Ökosystemleistungen der Wälder;10.3220/WP1598533026000
Forstliche Mischplantagen als multifunktionales Mittel zur Wiederherstellung von Waldlandschaften;10.3220/PB1588060815000
Ang magkakahalong plantasyon bilang pangmaramihang tugon sa pagpapanumbalik ng kalikasan;10.3220/PB1588061278000
Charcoal use in Zambia’s Miombo: balancing livelihoods and forest preservation;10.3220/PB1586850994000
Mixed-species plantations as a multi-functionality-tool for landscape restoration;10.3220/PB1586939200000
Deforestación y estrategias de conservación: efectos en el ingreso agrícola y forestal en Ecuador;10.3220/PB1581587120000
Challenges related to smallholder participation in the production of sawlogs: The case of acacia plantations in Vietnam;10.3220/PB1581515391000
Financial incentives show effects beyond forest conservation areas in the Ecuadorian Amazon;10.3220/PB1581587209000
How much are Ecuadorian households willing to pay for forest conservation?;10.3220/PB1581587083000
Implementation of the European Timber Regulation (EUTR) by German importers;10.3220/PB1581587284000
Deforestation and forest conservation: effects on farm income in Ecuador;10.3220/PB1581587154000
Prospecting future deforestation hotspots in the Ecuadorian Amazonas region under alternative scenarios of governance enforcement;10.3220/PB1581587041000
Improved governance helps reducing tropical deforestation;10.3220/PB1581515467000
Umsetzung der Europäischen Holzhandelsverordnung (EUTR) durch deutsche Importeure;10.3220/PB1581587251000
"""Variation"" der Herkunftsempfehlungen in einem föderalen Staat";10.3220/REP1584625360000
Forstpflanzenzüchtung in Deutschland im internationalen Vergleich - Erreichtes, Potentiale, Grenzen;10.3220/REP1584625360000
