Titel;DOI
How dry is too dry? A retrospective analysis on how global change-type droughts are driving mortality in European forests;
EWLP 2022 16th European workshop on lignocellulosics and pulp, June 28 - July 1, Gothenburg : Abstracts poster presentations;
"COST Action CA18111 ""Genome Editing in Plants"" : Book of Abstracts ; 3rd PlantEd Conference, 5 - 7 September 2022, Düsseldorf, Germany";
EWPL 2022 16th European workshop on lignocellulosics and pulp, June 28 - July 1, Gothenburg : Abstracts oral presentations;
Einfluss menschlicher Lebensstile auf die Pflanzenvielfalt in Gärten und auf Freiflächen;10.5771/9783835349308-175
Wie kommen Wald und Wald-Bewirtschaftung aus der Krise?;
Induction of early flowering in European birch (Betula pendula) through genetic transformation with the Flowering Locus T gene;
Chapter 6.4: Forest Land (4.A);
Seasonal phosphorus and nitrogen cycling in four Japanese cool-temperate forest species;10.1007/s11104-021-05251-x
Forest-atmosphere exchange of reactive nitrogen in a remote region - Part II: Modeling annual budgets;10.5194/bg-19-5287-2022
The mitochondrial genome sequence of Abies alba Mill. reveals a high structural and combinatorial variation;10.1186/s12864-022-08993-9
Analysing gap dynamics in forest canopies with landscape metrics based on multi-temporal airborne laser scanning surveys - A pilot study;10.1016/j.ecolind.2022.109627
Long-term forest monitoring reveals constant mortality rise in European forests;10.1111/plb.13469
evidence and gap map of the environmental Kuznets curve and the forest transition hypothesis for estimating forest area development;10.1088/1748-9326/aca781
The implications of remittances for agricultural land use and fuelwood collection: Evidence from the remaining forested landscapes in the Philippines;10.1088/1748-9326/ac44c4
Studies on European rust fungi, Pucciniales: molecular phylogeny, taxonomy, and nomenclature of miscellaneous genera and species in Pucciniastraceae and Coleosporiaceae;10.1007/s11557-022-01810-3
Supply of wood processing residues - a basic calculation approach and its application on the example of wood packaging;10.1016/j.tfp.2022.100199
A multigene phylogeny of native American hawkweeds (Hieracium Subgen. Chionoracium, Cichorieae, Asteraceae) : origin, speciation patterns, and migration routes;10.3390/plants11192584
Genomic characterization of Aureimonas altamirensis C2P003 - a specific member of the microbiome of Fraxinus excelsior trees tolerant to ash dieback;10.3390/plants11243487
Quantitative trait loci related to growth and wood quality traits in Eucalyptus grandis W. Hill identified through single- and multi-trait genome-wide association studies;10.1007/s11295-022-01570-x
Hidden behind the mask: An authentication study on the Aztec mask of the Museum of Ethnography, Budapest, Hungary;10.1016/j.forsciint.2022.111236
Climate-change-driven growth decline of European beech forests;10.1038/s42003-022-03107-3
Annals of Forest Science promotes multidisciplinary research on forests and wood in a changing world and is now a full Open Access journal;10.1186/s13595-022-01119-x
European-wide forest monitoring substantiate the neccessity for a joint conservation strategy to rescue European ash species (Fraxinus spp.);10.1038/s41598-022-08825-6
Plant invasion reconstructs soil microbial assembly and functionality in coastal salt marshes;10.1111/mec.16600
constitutively active cytokinin receptor variant increases cambial activity and stem growth in poplar;10.3390/ijms23158321
Tree genetic engineering, genome editing and genomics;10.3390/ijms232213980
Simulating tree growth response to climate change in structurally diverse oak and beech forests;10.1016/j.scitotenv.2021.150422
Simulating tree growth response to climate change in structurally-diverse oak and beech forests;10.1016/j.scitotenv.2021.150422
Anatomical and topochemical features of the genera Acacia, Acaciella, Senegalia and Vachellia;10.1163/22941932-bja10093
Digitalisierung im nationalen Waldmonitoring;
Fakten zum Thema: Wälder und Holznutzung;
Optionen und Ergebnisoffenheit sind in der Forstwirtschaft gefragt;
Herkunftsangaben für alternative Baumarten möglich;
Betriebskennzahlen für fünf europäische Länder;
Khaya revisited: Genetic markers and morphological analysis reveal six species in the widespread taxon K. anthotheca;10.1002/tax.12720
What is the contribution of forest-related income to rural livelihood strategies in the Philippines' remaining forested landscapes?;10.1016/j.forpol.2021.102658
Silver birch shows nonlinear responses to moisture availability and temperature in the eastern Baltic Sea region;10.1016/j.dendro.2022.126003
Influence of wood moisture content on the hardened state properties of geopolymer wood composites;10.1016/j.compositesa.2021.106680
A set of nuclear SNP loci derived from single sample double digest RAD and from pool sequencing for large-scale genetic studies in the European beech Fagus sylvatica;10.1007/s12686-022-01256-5
novel and diverse set of SNP markers for rangewide genetic studies in Picea abies;10.1007/s12686-022-01276-1
Large-scale genetic structure of Quercus robur in its eastern distribution range enables assignment of unknown seed sources;10.1093/forestry/cpac009
High phenotypic plasticity, but low signals of local adaptation to climate in a large-scale transplant experiment of Picea abies (L.) Karst. in Europe;10.3389/ffgc.2022.804857
Female self-incompatibility type in heterostylous Primula is determined by the brassinosteroid-inactivating cytochrome P450 CYP734A50;10.1016/j.cub.2021.11.046
Growing stock monitoring by European National Forest Inventories: Historical origins, current methods and harmonisation;10.1016/j.foreco.2021.119868
Restoration of tropical montane cloud forest in bracken dominated pastures: The role of nurse shrubs;10.1016/j.foreco.2022.120055
The contributions of biomass supply for bioenergy in the Post-COVID-19 recovery;10.3390/en14248415
Das Barberini-Harfen-Projekt : Untersuchungen an einem Meisterwerk aus dem Jahr 1630;
Using airborne laser scanning to characterize land-use systems in a tropical landscape based on vegetation structural metrics;10.3390/rs13234794
Weather-growth responses show differing adaptability of scots pine provenances in the South-Eastern parts of Baltic Sea Region;10.3390/f12121641
Targeted CRISPR/Cas9-based knock-out of the rice orthologs TILLER ANGLE CONTROL 1 (TAC1) in poplar induces erect leaf habit and shoot growth;10.3390/f12121615
Mapping amazon forest productivity by fusing GEDI lidar waveforms with an individual-based forest model;10.3390/rs13224540
Impact of gene flow and introgression on the range wide genetic structure of Quercus robur (L.) in Europe;10.3390/f12101425
Effects of temporal crop diversification of a cereal-based cropping system on generalist predators and their biocontrol potential;10.3389/fagro.2021.704979
Overcoming key barriers for secondary cloud forest management in Mexico;10.3390/land10101078
"Response to Comments on ""Recent global decline of CO2 fertilization effects on vegetation photosynthesis""";10.1126/science.abg7484
KI-unterstützte Holzartenbestimmung in Hamburg;
Good agreement between modeled and measured sulfur and nitrogen deposition in Europe, in spite of marked differences in some sites;10.3389/fenvs.2021.734556
Faktoren, die illegalen Holzeinschlag begünstigen;
Forest owners’ preferences for contract-based management to enhance environmental values versus timber production;10.1016/j.forpol.2021.102587
Estimating global forest-based employment;10.3390/f12091219
Hydrological soil properties control tree regrowth after forest disturbance in the forest steppe of central Mongolia;10.5194/soil-7-563-2021
Hydraulic properties of forest soils with stagnic conditions;10.3390/f12081113
South-Eastern baltic provenances of scots pine show heritable weather-growth relationships;10.3390/f12081101
Holzeinschlag kalamitätsbedingt weiter angestiegen;
"Editorial for the special issue ""Towards the bioeconomy: The role of traditional and emerging products and supporting actions""";10.1016/j.forpol.2021.102573
Additionality and leakage resulting from PES implementation? Evidence from the Ecuadorian Amazonia;10.3390/f12070906
Contrasting resource dynamics in mast years for European beech and oak - A continental scale analysis;10.3389/ffgc.2021.689836
Oaks as beacons of hope for threatened mixed forests in Central Europe;10.3389/ffgc.2021.670797
Deciphering the epigenetic alphabet involved in transgenerational stress memory in crops;10.3390/ijms22137118
National wood fiber balances for the pulp and paper sector: An approach to supplement international forest products statistics;10.1016/j.forpol.2021.102540
Genomic analysis of the endophytic stenotrophomonas strain 169 reveals features related to plant-growth promotion and stress tolerance;10.3389/fmicb.2021.687463
Metabolomics 2021;
Nonlinear weather-growth relationships suggest disproportional growth changes of Norway spruce in the Eastern Baltic region;10.3390/f12060661
Naturschutz hier - Naturgefährdung woanders? : Zu erwartende Auswirkungen der Umsetzung der EU-Biodiversitätsstrategie auf die Wälder in Ländern außerhalb der EU;
Modelling the material resistance of wood - Part 3: relative resistance in above- and in-ground situations - results of a global survey;10.3390/f12050590
Modeling the material resistance of wood - part 2: validation and optimization of the Meyer-Veltrup model;10.3390/f12050576
Density profile analysis of laminated beech veneer lumber (BauBuche);10.3390/fib9050031
The timber footprint of the German bioeconomy - state of the art and past development;10.3390/su13073878
Modelling the productivity of Siberian larch forests from Landsat NDVI time series in fragmented forest stands of the Mongolian forest-steppe;10.1007/s10661-021-08996-1
Schadenssumme insgesamt 12,7 Mrd. Euro : Abschätzung der ökonomischen Schäden der Extremwetterereignisse der Jahre 2018 bis 2020 in der Forstwirtschaft;
Household-level determinants of participation in forest support programmes in the Miombo landscapes, Zambia;10.3390/su13052713
Estimating supply and demand elasticities of dissolving pulp, lignocellulose-based chemical derivatives and textile fibres in an emerging forest-based bioeconomy;10.1016/j.forpol.2021.102422
Spatial distribution of forest ecosystem service benefits in Germany: A multiple benefit-transfer model;10.3390/f12020169
The diversity and dynamics of sex determination in dioecious plants;10.3389/fpls.2020.580488
Welche Faktoren begünstigen illegalen Holzeinschlag?;10.3220/PB1625483994000
Which factors are associated with illegal logging?;10.3220/PB1625484480000
Resistance priming of forest tree species;
Sustainability certification for deforestation-free supply chains: the cases of palm oil and soy;
Frontiers in Soil Science;
Untersuchungen zur katalytischen Transferhydrierung von Modellsubstanzen und biogenem Pyrolyseöl mithilfe des Wasserstoffträger (LOHC) -Systems Dibenzyltoluol/Perhydro-Dibenzyltoluol;
Copernicus Netzwerkbüro Wald;10.3220/PB1636453334000
Comparison of anatomical and topochemical features of members from the genera Acacia, Acaciella, Senegalia and Vachellia;
Technische Dokumentation zum Modell ReWaLe (Regionalisierung des ökonomischen Wertes von Waldleistungen);10.3220/WP1627892080000
Chapter 6.10: Harvested Wood Products (4.G);
Thünen erklärt: Warum Waldnutzung auch Klimaschutz ist: so wird der Klimaschutzeffekt der Wälder optimiert;
Chapter 11: Supplementary information as required pursuant to Article 7 (1) of the Kyoto Protocol;
Kapitel 11: Ergänzende Informationen wie nach Artikel 7, Absatz 1 des Kyoto-Protokolls gefordert;
Holzprodukte (4.G);
Verwendung von Holz in Gebäuden als Beitrag zum Klimaschutz;
Examples of Water and Land Use Management;10.1007/978-3-030-60147-8_19
Modelowanie dostosowanego do klimatu rozmieszczenia gatunków drzew na terenie Niemiec na podstawie Federalnej Inwentaryzacji Lasów i Teledetekcji;
Rostpilze (Pucciniales) und Nacktbasidien (Exobasidiales);
Stärkung der Wald- und Holzforschung in Deutschland : Abschlussbericht der Arbeitsgruppe Wald- und Holzforschung im Auftrag des BMEL und des BMBF;
Die Pilze des ehemaligen Bannwalds Wilder See im Nationalpark Schwarzwald unter besonderer Berücksichtigung der mit Abies alba (Weißtanne) vergesellschafteten Arten;
Die Bundeswaldinventur als Referenz für die Entwicklung nationaler fernerkundlicher Waldinformationsprodukte zur Unterstützung einer an das Klima angepassten Waldbewirtschaftung;
Detektion von windgeworfenen Baumstämmen auf UAV-Orthomosaiken mit Hilfe von Neuronalen Netzen;
WINMOL - Erfassung und Vorhersagemöglichkeiten von Sturmschäden im Forst;
Digitales Krisen- und Risikomanagement vor und nach Sturmschadensereignissen - Eine Umfrage unter Forstakteueren;
Vulnerabilität von Forstbeständen für Sturmschäden - Modellierung und Risikominimierung am Beispiel einer forstökologischen Versuchsfläche;
Trockenheitstoleranz von unterschiedlichen Fichten- und Buchenpopulationen aus Europa im Vergleich;
Chapter 6.1: Overview (CRF Sector 4);
Tree health is deteriorating in the European forests;10.3220/ICP1638780772000
"Forest Condition in Europe : The 2021 Assessment ; ICP Forests Technical Report under the UNECE Convention on Long-range Transboundary Air Pollution (Air Convention)";10.3220/ICPTR1624952851000
Beiträge zur Jahrestagung 2021  / Deutscher Verband Forstlicher Forschungsanstalten Sektion Ertragskunde;
"Verbundvorhaben: Entwicklung eines kombinierten Verfahrens zur Veredelung von Pyrolyseöl mit biogenen Alkoholen und Wasserstoff; Teilvorhaben 2 (Vorhabenteil TI)";
Modelling markets of bio-based chemical products with BioMAT;
"The 8th IAWA-China Group Annual Meeting and 2021 International Youth Forum for Wood Anatomy : Promote Ecological Wood Anatomy for Sustainable Wood Utilization ; November 12-14, 2021, Chengdu, China";
Forest resources and land use change in Zambia: Examining the relationship between household-level attributes, contextual factors, deforestation and forest degradation, and their implications for livelihoods;
Simulation of resistance to dispersal of arthropods and plants in an agricultural landscape;10.24355/dbbs.084-202108120758-0
Können regionale Landnutzungspolitiken die Entwaldung in Sambia reduzieren?;10.3220/PB1631609121000
Can regional land use management policies reduce deforestation in Zambia?;10.3220/PB1631609911000
Wild bee assemblages on wildflower strips: Data resolution and spatial scale are key to disentangling effects of landscape structure and agricultural practices;10.24355/dbbs.084-202108120758-0
Is PES stopping deforestation or is it just shifting it?;10.3220/PB1631695981000
Stoppt PES die Entwaldung oder verlagert es sie nur?;10.3220/PB1631695342000
Recent and future forest mortality in Germany - what will come after the spruce age?;10.24355/dbbs.084-202108120758-0
Molekulare und funktionale Analyse von Lysin-Motiv-Rezeptor-ähnlichen Kinasen in P. x canescens;
pH-Werte deutscher Böden auf Wald- und Agrarflächen;10.3220/CA1632825232000
"40th EARSeL Symposium 2021 : European remote sensing-new solutions for science and practice ; 07 - 10 June 2021 University of Warsaw, Faculty of geography and regional studies, Warsaw, Poland";
The application of UAV-based phenological data and machine learning models for drought stress detection in European beech [Online Präsentation];
Waldbau Weltweit 2.0 : Festschrift anlässlich der Verabschiedung von Prof. Dr. Dr. Reinhard Mosandl;
Tagungsband des 5. Holzanatomischen Kolloquiums in Dresden;
Anatomische Identifizierung von Holzkohle und Briketts - Entwicklungen des Internationalen Holzkohlehandels und die zunehmende Nutzung von Substituten aus NTFPs;
Estimating carbon stocks across forest types in the Ecuadorian lowland forest;
Isolierung und Identifizierung von Bakterien, die antagonistisch gegenüber holzzerstörenden Pilzen wirken - ein Potenzial für biologische Holzschutzmittel;
Untersuchungen zum Raum-Zeit-Verhalten und zum Wildtiermanagement von Schwarzwild;
Zellstoff- und Papierbilanzen zur Ergänzung internationaler Statistiken;10.3220/PB1628154971000
Pulp and paper balances to supplement international statistics;10.3220/PB1628156973000
Methoden zur Messung der nassen Quecksilberdeposition unter dem Kronendach von Wäldern;10.3220/PB1628688672000
Multitalent Wald: Naturschutz als Ökosystemleistung;10.3220/CA1628756992000
The diversity of soil biota processes, functions and ecosystem services in land use systems;10.24355/dbbs.084-202108120758-0
Tropical montane cloud forests;
A guide to forest-water management;
Forest fire history in Germany (2001-2020);10.3220/PB1636643380000
Waldbrandhistorie in Deutschland (2001-2020);10.3220/PB1636642797000
Techniques for the measurement of wet mercury depositions under forest canopy;10.3220/PB1629705718000
"Sustainable lignin valorization : Technical lignin, processes and market development ; IEA Bioenergy: Task 42, October 2021";
Gärten und Gartenkultur als Bestandteil struktureller Entwicklung ländlicher Räume : Onlinekongress 10. und 11. Mai 2021;
Multitalented forests: nature conservation as an ecosystem service;10.3220/CA1636635869000
Multitalented forests: recreation as an ecosystem service;10.3220/CA1636635811000
Machine-learning-basierte mikroskopische Holzartenbestimmung am Beispiel der CITES-geschützten Holzart Swietenia macrophylla;
Multitalented forests: climate protection as an ecosystem service;10.3220/CA1636635747000
Einsatz von Holz in Biomasse-Großfeuerungsanlagen 2019;
Die energetische Nutzung von Holz in Biomassefeuerungsanlagen unter 1 MW in Nichthaushalten im Jahr 2019;
Additive stressors call for adaptive forest management;
"Drzewa i lasy w zmieniajacym sie srodowisku : Scientific conference ; Kórnik-Poznan, 11-13 October 2021, Conference Proceedings";
Trends in forest-related employment and tertiary education : insights from selected key countries around the globe;
National Forestry Accounting Plan for Germany - annotated and revised edition;10.3220/WP1639056992000
Wohnen und Leben mit Holz : Einfluss von Holzemissionen auf die Wohngesundheit;
"FowiTa : Forstwissenschaftliche Tagung - Wald: Wie weiter? ; Book of abstracts, 13. bis 15. September 2021";
FNEWs - Erste Einblicke in die Waldschadenserfassung;
Bundeswaldinventur meets Copernicus: Erste bundesweite Baumartenklassifizierung für Deutschland;
2. Holzbau Kongress Berlin (DHK 2021) : Bauen mit Holz im urbanen Raum;
VOC-Anforderungen an Baustoffe und Innenräume - wie passt das zusammen;
Emissionen flüchtiger organischer Verbindungen von Holz und Holzwerkstoffen;10.3220/REP1622449526000
"Epigenetic mechanisms of crop adaptation to climate change : EPICATCH COST CA19125 conference July 12-14th, 2021 ; invited speaker abstract book";
Der genetische Fußabdruck der Verjüngungsphase - Einblicke in die Geschichte zweier alter Buchenbestände in Brandenburg;
Zustand und Entwicklung der Rot-Buche in den Wäldern Brandenburgs unter den Bedingungen des Klimawandels;
"Zur physiologischen Differenzierung der Rot-Buche am Beispiel einer Fläche des ""Internationalen Herkunftsversuches 1996/98"" im Fläming";
Analyse der forstlichen Landnutzung;10.1007/978-3-658-18671-5
Gesellschaftliche Bewertung der Landnutzungsstrategien;10.1007/978-3-658-18671-5
Ist-Situation der Landnutzung in Deutschland;10.1007/978-3-658-18671-5
Entwicklung des Forstbetrieblichen Simulationsmodells FoBeSiMo;10.1007/978-3-658-18671-5
Modellgestützte Wirkungsanalysen ausgewählter Maßnahmen und Strategien;10.1007/978-3-658-18671-5
Anhang;10.1007/978-3-658-18671-5
Wood Identification;
Identifizierung von für Deutschland relevanten Baumarten im Klimawandel und länderübergreifendes Konzept zur Anlage von Vergleichsanbauten - Empfehlungen der Bund-Länder-Arbeitsgruppe „Forstliche Genressourcen und Forstsaatgutrecht“ zu den Arbeitsaufträgen der Waldbaureferenten;10.3220/WP1617712541000
Bodenschutz im Wald;
Kompetenzentwicklung im peruanischen Forst- und Holzwirtschaftssektor : Beitrag zu den Umweltzielen Perus - ProAmbiente II;10.3220/PB1607003313000
Effects of ozone on vegetation are modified by nitrogen and factors of climate change;10.3220/PB1618491100000
Stickstoff und Klimawandel verändern die Auswirkungen von Ozon auf die Vegetation;10.3220/PB1618832963000
Passt RNAi-basierte Technologie zu den Nachhaltigkeitszielen der EU?;
Interaction of polyurethane with wood-based sandwich panels;
Techniques for work with plant and soil nematodes;10.1079/97817863911759.0000
"Online-Tagung : Strategien zur Erhöhung der Stickstoffeffizienz im Pflanzenbau ; Präsentation der Ergebnisse aus dem Forschungs- und Entwicklungsprojekt StaPlaRes";
Multitalent Wald: Klimaschutz als Ökosystemleistung;10.3220/CA1612261157000
Junge Fichten aus trockenen Regionen leiden weniger unter Trockenstress;10.3220/PB1622452332000
Is participation in forest programs in Zambia’s Miombo skewed towards poorer households?;10.3220/PB1620197330000
Effects of historical landscape structure on current community trait composition of plants and arthropods in Central European grasslands;10.24355/dbbs.084-202108120758-0
Does RNAi-based technology fit within EU sustainability goals?, 19. April 2021;
Application of RNAi technology in forest trees;10.1079/9781789248890.0000
Coming from dry regions Norway spruce seedlings suffer less under drought;10.3220/PB1623066406000
DGG-Proceedings : Short Communications of the DGG and BHGL Annual Conference;
Macht's die Milch?;
Digital identifiziert : Digitales Bilderkennungssystem zur mikroskopischen Bestimmung von Mahagoni-Hölzern;
Werden wir in Zukunft genug Rohstoff zur Verfügung haben? : Interview über globale Trends bei den forstlichen Ressourcen;
Geoecological parameters indicate discrepancies between potential and actual forest area in the forest-steppe of Central Mongolia;10.1186/s40663-021-00333-9
Entre tala, clima,madera y pulpa;
Rosliny inwazyjne lasów miejskich Berlina - problemy gospodarcze zwiazane z wybranymi gatunkami oraz metody ich zwalczania;10.17306/J.AFW.2021.1.6
Performance of a specialist and a generalist herbivorous moth on different Quercus robur genotypes;10.3390/IECPS2020-08592
Wildruhezone und ihre Bedeutung für das Rotwildverhalten;
Geriegelter Bergahorn - ein besonders wertvolles Holz;
Understanding smallholder farmer decision making in forest land restoration using agent-based modeling;10.18174/sesmo.2021a18036
Was uns besendertes Rotwild verrät: Die Intervalljagd;
Projektionsbericht 2021 für Deutschland;
Chapter 6.2: Land-use definitions and land-use classification systems, and their reflection in the LULUCF categories;
Chapter 6.4: Forest Land (4.A);
Estimating grassland biomass from Sentinel 2 - a study on model transferability;
Identifying areas of homogeneous grassland management based on iterative segmentation of Sentinel-1 and Sentinel-2 data;
Modelle zur Schätzung der artspezifischen Kronenansatzhöhe von Waldbäumen in Deutschland;
Waldstilllegung für den Klimaschutz? Hinweise aus der Bundeswaldinventur;
Anatomical identification of charcoal and briquettes - developments in the international charcoal trade and the increasing use of substitutes from NTFPs;
Waldumbau und Wasserhaushalt;
Forstpflanzenzüchtung gewinnt an Bedeutung;
Nitrate uptake and carbon exudation - do plant roots stimulate or inhibit denitrification?;10.1007/s11104-020-04750-7
Entwicklung und Test von Methoden zur Messung der nassen Quecksilberdeposition unter dem Kronendach von Wäldern;
Developing competences for the Peruvian forestry and woodworking sector : contribution to the environmental objectives of Peru - ProAmbiente II;10.3220/PB1607003887000
Genetic comparison of planted and natural Quercus robur stands in Russia;10.2478/sg-2021-0001
Genome-wide bioinformatics analysis revealed putative substrate specificities of SABATH and MES family members in silver birch (Betula pendula);10.2478/sg-2021-0005
Towards new seed orchard designs in Germany - A review;10.2478/sg-2021-0007
The genetic basis of sex determination in Populus provides molecular markers across the genus and indicates convergent evolution;10.2478/sg-2021-0012
Sustainable Agriculture through Multidisciplinary Seed Nanopriming: Prospects of Opportunities and Challenges;10.3390/cells10092428
Multifunctional cyclic organic carbonates as curing agents for organic compounds having phenolic hydroxyl groups, Patent WO2021033129A1;
Climate condition affects foliar nutrition in main European tree species;10.1016/j.ecolind.2021.108052
Effect of phenol-formaldehyde (PF) resin oligomer size on the decay resistance of beech wood;10.1515/hf-2020-0020
Exploring controls of timber stock residence times in storage after severe storm events;10.1007/s10342-020-01310-7
Institutional quality, economic development and illegal logging: a quantitative cross-national analysis;10.1007/s10342-021-01382-z
Genetic diversity of seeds from four German Douglas fir (Pseudotsuga menziesii) seed orchards;10.1007/s10342-021-01419-3
Effects of household-level attributes and agricultural land-use on deforestation patterns along a forest transition gradient in the Miombo landscapes, Zambia;10.1016/j.ecolecon.2021.107070
Small-scale genetic structure and mating patterns in an extensive sessile oak forest (Quercus petraea (Matt.) Liebl.);10.1002/ece3.7613
