Title;DOI
Impact of spawn concentrations on Atlantic herring (Clupea harengus) egg survival in Baltic Sea inshore spawning areas;10.1016/j.ecss.2022.107961
Methanol utilizers of the rhizosphere and phyllosphere of a common grass and forb host species;10.1186/s40793-022-00428-y
Scientific, Technical and Economic Committee for Fisheries (STECF) - 69th Plenary Report (PLEN-22-01);10.2760/192738
Flowering behavior of clones in a Norway maple (Acer platanoides) seed orchard and mating system analysis using nuclear SSR markers;10.1007/s10342-022-01459-3
Gefördert und überfordert? Belastungsschwerpunkte und Reformvorschläge für das kommunale Förderwesen;10.35998/joefin-2022-0008
Einschlagstopp in alten, naturnahen Buchenwäldern im öffentlichen Besitz: Definition, Vorkommen, Inventur-Kennzahlen, Gefährdung und ökonomische Bewertung;10.3220/WP1657531523000
Decision-making of citizen scientists when recording species observations;10.1038/s41598-022-15218-2
Dynamics of local supply in rural areas;10.3220/PB1661762685000
Methodenhandbuch zu den Gelände- und Laborarbeiten für den Aufbau des deutschlandweiten Moorbodenmonitorings für den Klimaschutz (MoMoK) – Teil 1: Offenland, Version 1.0;10.3220/WP1661764883000
The timber footprint of German bioeconomy scenarios compared to the planetary boundaries for sustainable roundwood supply;10.1016/j.spc.2022.07.029
Waste-tracking tools: A business case for more sustainable and resource efficient food services;10.1016/j.rcradv.2022.200112
Microbial carbon use efficiency along an altitudinal gradient;10.1016/j.soilbio.2022.108799
Soil carbon loss in warmed subarctic grasslands is rapid and restricted to topsoil;10.5194/bg-19-3381-2022
STELLA - Stellnetzfischerei-Lösungsansätze : Projekt-Abschlussbericht;10.3220/REP1662104969000
Developing BioMAT: A new conceptual framework to model the market of bio-based materials in the EU;10.7896/j.2289
Gibt es gesicherte Erkenntnisse über die Auswirkungen der Agroforstwirtschaft?;10.3220/PB1662471847000
Klimawandelbedingte Ertragsveränderungen und Flächennutzung (KlimErtrag);10.3220/WP1659347916000
Ex-ante-Bewertung des deutschen Strategieplans für die Gemeinsame Agrarpolitik 2023-2027;10.3220/PB1659356551000
Smart Farming - von der Entwicklung zur Anwendung in der Praxis: Handlungsempfehlungen für die Politik;10.3220/PB1659516163000
Ex-ante evaluation of Germany’s strategic plan for the Common Agricultural Policy 2023-2027;10.3220/PB1659517292000
Ermittlung des regionalen Bewässerungsbedarfs für die Landwirtschaft in Bayern;10.3220/PB1659520173000
Heavy metal contamination in European conger (Conger conger, Linnaeus 1758) along the coastline of Morocco [Datenpublikation];10.3220/DATA20240326100006-0
Die Schwimm-Physiologie des Europäischen Aals unter regelbaren Überdruckbedingungen (SPEER);10.3220/PB1641287451000
The swimming physiology of the European eel under regulable hyperbaric conditions (SPEER);10.3220/PB1641288045000
Spatio-temporal mapping of soil water storage in a semi-arid landscape of northern Ghana - A multi-tasked ensemble machine-learning approach;10.1016/j.geoderma.2021.115691
Growing stock monitoring by European National Forest Inventories: Historical origins, current methods and harmonisation;10.1016/j.foreco.2021.119868
Bodenzustandserhebung Landwirtschaft;10.3220/PB1641478727000
COVID-19 Influence on developments in the global beef and sheep sectors;10.3390/ruminants2010002
An output-based measurement of EU bioeconomy services: Marrying statistics with policy insight;10.1016/j.strueco.2021.10.005
Mapping silver eel migration routes in the North Sea;10.1038/s41598-021-04052-7
Minderung von Ammoniak- und Treibhausgasemissionen der Landwirtschaft : Wirkungen national finanzierter Bausteine der Einzelbetrieblichen Förderung in Hessen (EFP);10.3220/5LE1641823924000
Parasite load of Atlantic cod Gadus morhua in the Baltic Sea assessed by the liver category method, and associations with infection density and critical condition;10.1111/fme.12516
Has the European Union entered a bioeconomy transition? Combining an output-based approach with a shift-share analysis;10.1007/s10668-021-01780-8
Phosphorus fluxes in two contrasting forest soils along preferential pathways after experimental N and P additions;10.1007/s10533-021-00881-w
Lebensmittelverluste bei Obst und Gemüse - die Rolle von Qualitätsanforderungen und Unternehmenspraktiken des Lebensmitteleinzelhandels;10.3220/WP1668584175000
Dynamic agglomeration effects of foreigners and natives - the role of experience in high-quality sectors, tasks and establishments;10.48720/IAB.DP.2224
"""Breaking the ice""";10.3220/PB1668502011000
Herring Assessment Working Group for the Area South of 62° N (HAWG);10.17895/ices.pub.10072
Messung und Bilanzierung von Stoffströmen in Agrarsystemen zur Treibhausgasemissionsreduktion (MASTER);10.3220/PB1668505699000
Measuring and modelling greenhouse gas emissions and nitrate leaching of raw material crop rotations (MASTER);10.3220/PB1668506133000
Land ownership and land transactions in Bavaria;10.3220/PB1667988763000
Effekte der forstlichen Fördermaßnahmen des Landesprogramms Ländlicher Raum (LPLR) des Landes Schleswig-Holstein auf die Wasserqualität und -quantität;10.3220/5LE1668000644000
GülleBest: Mit welcher Technik lassen sich Gülle und Gärreste emissionsarm ausbringen?;10.3220/PB1668515904000
GülleBest: What low-emissions technology exists for the application of slurry and digestate?;10.3220/PB1668516796000
Growth performance and carcass traits of growing pigs consuming different alfalfa (Medicago sativa) products in organic farming systems;10.1080/09064702.2022.2141309
Governance: The reform process of the CAP post 2020 seen from an inter-institutional angle : study requested by the AGRI Committee;10.2861/865460
Working Group on Ecosystem Assessment of Western European Shelf Seas (WGEAWESS);10.17895/ices.pub.21311535
Dataset to: Greenhouse gas emissions from silphium perfoliatum and silage maize cropping on stagnosols [Datenpublikation];10.3220/DATA20221117110711
Stoffliche Belastungsgrenzen von Waldökosystemen (Critical Loads) - Auswirkung von Denitrifikation und Verwitterung;10.3220/PB1669024551000
Thresholds for air pollutants of forest ecosystems (critical loads) - Effect of denitrification and weathering;10.3220/PB1669024833000
Erreichbarkeit durch ambulante Pflegedienste und Erreichbarkeit von Tagespflegeeinrichtungen in Deutschland;10.3220/WP1669025391000
A comparison of online and live training of livestock farmers for an on-farm self-assessment of animal welfare;10.3389/fanim.2022.915708
Drohnen als Messplattform;10.37544/0949-8036-2022-09-10-33
Der GAP-Reformprozess für die Zeit nach 2020 aus interinstitutioneller Sicht;10.3220/PB1669041665000
Governance: the reform process of the CAP post 2020 seen from an inter-institutional angle;10.3220/PB1669042120000
Co-design: Working with farmers in Europe to halt the loss of biological diversity;10.1002/2688-8319.12169
Tree genetic engineering, genome editing and genomics;10.3390/ijms232213980
What is left and what was achieved? : a time perspective of a pioneering project 20 years after the European Fish Ageing Network;10.1016/j.fishres.2022.106340
Irreversibility of regime shifts in the North Sea;10.3389/fmars.2022.945204
Revisiting crop water stress index based on potato field experiments in Northern Germany;10.1016/j.agwat.2022.107664
Wie sich der Anbau der Durchwachsenen Silphie auf THG-Emissionen und Boden-Biodiversität auswirkt;10.3220/PB1669629146000
Abschätzung des zukünftigen Flächenbedarfs von Photovoltaik-Freiflächenanlagen;10.3220/WP1669630417000
Contribution of the forest sector to total employment in national economies : estimating the number of people employed in the forest sector;10.4060/cc2438en
Scientific, Technical and Economic Committee for Fisheries (STECF) : the 2022 annual economic report on the EU fishing fleet (STECF 22-06);10.2760/120462
Scientific, Technical and Economic Committee for Fisheries - 70th plenary report (PLEN-22-02);10.2760/87451
Forest-atmosphere exchange of reactive nitrogen in a remote region - Part II: Modeling annual budgets;10.5194/bg-19-5287-2022
Heavy metal contamination in European conger (Conger conger, Linnaeus 1758) along the coastline of Morocco;10.1186/s12302-022-00694-0
Fish grabbing: Weak governance and productive waters are targets for distant water fishing;10.1371/journal.pone.0278481
Doing it right to alleviate poverty: application of the sustainable food value chain development framework to Ghana’s poultry sector;10.1080/14735903.2022.2152605
A set of nuclear SNP loci derived from single sample double digest RAD and from pool sequencing for large-scale genetic studies in the European beech Fagus sylvatica;10.1007/s12686-022-01256-5
Verringerungen von Kunststoffmüll aus der Krabbenfischerei durch Netzmodifikationen - Dolly Rope Suspension (DRopS) : Projekt-Abschlussbericht;10.3220/REP1670832160000
An evidence and gap map of the environmental Kuznets curve and the forest transition hypothesis for estimating forest area development;10.1088/1748-9326/aca781
Peat extraction, trade and use in Europe: a material flow analysis;10.19189/MaP.2021.SNPG.StA.2315
The role of genomic signatures of directional selection and demographic history in the population structure of a marine teleost with high gene flow;10.1002/ece3.9602
Genomic characterization of Aureimonas altamirensis C2P003 - a specific member of the microbiome of Fraxinus excelsior trees tolerant to ash dieback;10.3390/plants11243487
Silver birch shows nonlinear responses to moisture availability and temperature in the eastern Baltic Sea region;10.1016/j.dendro.2022.126003
Impact of the war in Ukraine on farm profitability and the attractiveness of environmental measures in Germany;10.30430/gjae.2022.0300
In vitro forestomach digestion experiments give less-biased estimates of food composition in odontocetes;10.1242/bio.059440
Report on the added value of the European Network : ALL-Ready Project Deliverable 4.1. : ALL-Ready - The European Agroecology Living Lab and Research Infrastructure Network: preparation phase;10.5281/zenodo.7105206
First record and spread of the long-wristed hermit crab Pagurus longicarpus Say, 1817 in the North Frisian Wadden Sea (Germany);10.3391/bir.2022.11.2.21
Innovative Vertragslösungen für die Erbringung von Agrarumweltleistungen (CONSOLE);10.3220/PB1672749851000
Crops, caves, and bats: deforestation and mining threaten an endemic and endangered bat species (Lonchophylla: Phyllostomidae) in the Neotropical savannas;10.4404/hystrix-00541-2022
European oak metabotypes shape digestion and fitness of the herbivore Tortrix viridana [Preprint];10.22541/au.165400033.37684939/v1
The added value of a European network of Agroecology Living Labs and research infrastructures : fact sheet for policy-makers, agroecology organizations and researchers;10.5281/zenodo.7447971
The second workshop on lists of commercial fish and shellfish species for reporting of MSFD D3 (WKD3LISTS2);10.17895/ices.pub.21318255
Inhibitory effect of high nitrate on N2O reduction is offset by long moist spells in heavily N loaded arable soils;10.1007/s00374-021-01612-x
Umsetzung von Dorfentwicklungsplänen in Hessen - Lokale Governance-Arrangements und die Rolle der Steuerungsgruppen : Entwicklungsplan für den ländlichen Raum (EPLR) des Landes Hessen 2014 bis 2020;10.3220/5LE1666618144000
Landeigentum und Grundstücksverkehr in Bayern;10.3220/PB1666619365000
"""Breaking the ice""";10.3220/PB1666678692000
Taking stock of and advancing knowledge on interaction archetypes at the nexus between land, biodiversity, food and climate;10.1088/1748-9326/ac9a5c
The derivation of denitrification conditions in groundwater: combined method approach and application for Germany;10.1016/j.ecolind.2022.109564
Mercury and explosive compound 4-aminodinitrotoluene (4-ADNT) in dab (Limanda limanda) caught at munition dumping site Kolberger Heide in the Kiel Bight, Baltic Sea [Datenpublikation];10.1594/PANGAEA.949114
A question of scale: modeling biomass, gain and mortality distributions of a tropical forest;10.5194/bg-19-4929-2022
Diving into the vertical dimension of elasmobranch movement ecology;10.1126/sciadv.abo1754
Aufbau eines deutschlandweiten Moorbodenmonitorings für den Klimaschutz (MoMoK) - Teil 1: Offenland;10.3220/PB1667294290000
Establishment of a German peatland monitoring programme for climate protection (MoMoK) - Part 1: Open Land;10.3220/PB1667294659000
Handel mit holzbasierten Produkten: Abdeckung durch EUTR und die geplante Nachfolgeverordnung;10.3220/PB1667295381000
Trade in wood-based products: coverage by EUTR and the planned successor regulation;10.3220/PB1667295742000
Village modernization and farmland birds: A reply to Rosin et al. (2021);10.1111/conl.12874
Report on the second workshop on an alternative approach to the segmentation of fishing fleets : 28-30 March 2022, online workshop;10.13140/RG.2.2.15792.23043
Single- and multi-species groups: A descriptive study of cattle and broiler behaviour on pasture;10.1016/j.applanim.2022.105779
Working Group on Mixed Fisheries Methodology (WGMIXFISH-METHODS);10.17895/ices.pub.20401389
Effect of common vetch (Vicia sativa L.) seeds in organic diets for broiler chickens: acceptance and precaecal digestibility of crude protein and amino acids from raw, germinated and ensiled vetches;10.1016/j.anifeedsci.2022.115506
Besser nicht zu genau hinsehen? Die blinden Flecken in der normativen Engagementforschung;10.5771/2196-3886-2022-2-309
The role of colour patterns for the recognition of flowers by bees;10.1098/rstb.2021.0284
ICES manual for seafloor litter data collection and reporting from demersal trawl samples;10.17895/ices.pub.21435771
Wood-water relations affected by anhydride and formaldehyde modification of wood;10.1021/acsomega.2c04974
Northwestern Working Group (NWWG);10.17895/ices.pub.19771381
ICES report on ocean climate 2020;10.17895/ices.pub.19248602
Influence of different dietary fibre contents in the diet on feather pecking, locomotor activity and performance of laying hens;10.1080/00071668.2022.2076212
Working Group on Mixed Fisheries Advice (WGMIXFISH-ADVICE);10.17895/ices.pub.21501414
Thünen-Baseline 2022 - 2032: Agrarökonomische Projektionen für Deutschland;10.3220/REP1667811151000
Analysis of adhesive distribution over particles according to their size and potential savings from particle surface determination;10.3390/fib10110097
Beyond p-value-obsession: When are statistical hypothesis tests required and appropriate?;10.30430/gjae.2022.0283
The mitochondrial genome sequence of Abies alba Mill. reveals a high structural and combinatorial variation;10.1186/s12864-022-08993-9
Potenzial der Torfmooskultivierung auf Schwarztorf für den Klimaschutz;10.3220/PB1669649354000
Potential for emission mitigation by Sphagnum farming on highly decomposed peat;10.3220/PB1669649721000
"Working group on spatial fisheries data (WGSFD; outputs from 2021 meeting)";10.17895/ices.pub.21630236
Large-scale genetic structure of Quercus robur in its eastern distribution range enables assignment of unknown seed sources;10.1093/forestry/cpac009
GDA-NT 2021 - a computer program for population genetic data analysis and assignment;10.1007/s12686-022-01283-2
Soil moisture and temperature effects on granule dissolution and urease activity of urea with and without inhibitors - an incubation study;10.3390/agriculture12122037
Does the implementation of an animal welfare programme on a farm yield a demonstrable improvement in fattening pig welfare?;10.3390/ani12233337
A digital light microscopic method for diatom surveys using embedded acid-cleaned samples;10.3390/w14203332
Spatial analysis of genetic variation in a natural population of the dark forest bee (Apis mellifera mellifera L.) from the Southern Urals (Russia);10.1080/00207233.2022.2058768
Evaluating ecosystem impacts of gear regulations in a data-limited fishery - comparing approaches to estimate predator-prey interactions in Ecopath with Ecosim;10.1093/icesjms/fsac077
Long-term forest monitoring reveals constant mortality rise in European forests;10.1111/plb.13469
Can we detect patterns in behavioral time series of cows using cluster analysis?;10.3168/jds.2022-22140
Flower strips as a carbon sequestration measure in temperate croplands;10.1007/s11104-022-05718-5
Quality assurance indicators for environmental citizen science : development of indicators for volunteer-based biodiversity monitoring;10.22163/fteval.2022.573
Farmer-led agroecology for biodiversity with climate change;10.1016/j.tree.2022.07.006
Buycotting to save the neighbourhood? : exploring the altered meaning of social infrastructures of consumption during the  Covid-19 crisis in Linden, Hannover, Germany;10.1080/14649365.2022.2115537
Local and vertical networking as drivers of innovativeness and growth in rural businesses;10.1016/j.jrurstud.2022.09.014
Workshop on stickleback and round goby in the Baltic Sea (WKSTARGATE);10.17895/ices.pub.21345291
Welfare issues and potential solutions for laying hens in free range and organic production systems : a review based on literature and interviews;10.3389/fvets.2022.952922
Valorization of potential post-consumer polyethylene (PE) plastics waste and Ethiopian indigenous highland bamboo (EHB) for wood plastic composite (WPC) : experimental evaluation and characterization;10.3390/fib10100085
The fish community of the ancient Prespa Lake (Southeast Europe): Non-indigenous species take over;10.2478/aopf-2022-0011
"""Bauernland in Bauernhand"" : Gutachten im  Auftrag des Bayerischen Staatsministeriums für  Ernährung, Landwirtschaft und Forsten";10.3220/REP1666266687000
No new evidence for an Atlantic eels spawning area outside the Sargasso Sea;10.1038/s41598-022-14882-8
Life cycle assessment of peat for growing media and evaluation of the suitability of using the Product Environmental Footprint methodology for peat;10.1007/s11367-022-02106-0
Broodstock exposure to warming and elevated pCO2 impairs gamete quality and narrows the temperature window of fertilisation in Atlantic cod;10.1111/jfb.15140
Scientific, Technical and Economic Committee for Fisheries (STECF) - Evaluation of joint recommendations on the landing obligation and on technical measures regulation (STECF-22-05);10.2760/390054
CM 112: Spatial distribution of cephalopods of the European Shelf and their associated oceanographic parameters based on occurrence in standardized demersal fishing trawls;10.17895/ices.pub.21601929
Lokale Diskurse zur Aufnahme von Geflüchteten - eine vergleichende Analyse von acht Landkreisen in Deutschland;10.3220/WP1671100450000
Technischer Report zur repräsentativen Umfrage des BMEL zu Lebensverhältnissen in ländlichen Räumen von 2021;10.3220/WP1671100784000
Parasites of pufferfish, Lagocephalus spp. and Torquigener flavimaculosus of the Israeli Mediterranean: A new case of Lessepsian endoparasites;10.1016/j.ijppaw.2022.09.003
Krill biomass estimation: Sampling and measurement variability;10.3389/fmars.2022.903035
Interpolated daily temperature and precipitation data for Level II ICP Forests plots in Germany;10.1186/s13595-022-01167-3
Landscape Assessment plots maps (with RGB, canopy height, NDVI and 3d point cloud) [Datenpublikation];10.25625/MDWJR3
Land use maps 2020 based on LiDAR [Datenpublikation];10.25625/LOPQ2K
High-resolution true-color orthophotos with 5 cm resolution [Datenpublikation];10.25625/1RB4CC
Airborne acquisition extent 2020 [Datenpublikation];10.25625/EKRJI2
Rasters of vegetation canopy height estimated with spaceborne TanDEM-X data [Datenpublikation];10.25625/QJZ9XI
Rasters for ALS metrics at 50m resolution [Datenpublikation];10.25625/6JQDNA
Rasters for ALS metrics at 10m resolution [Datenpublikation];10.25625/HWTBW5
Normalized Difference Vegetation Indices (NDVIs) at 1 m resolution [Datenpublikation];10.25625/AIDFG2
Landscape Assessment (LA) hyperspectral vegetation indices [Datenpublikation];10.25625/1LI57Z
Core plots hyperspectral vegetation indices [Datenpublikation];10.25625/BXLGQJ
Bestockte Holzbodenkarte 2018 [Datenpublikation];10.3220/DATA20221205151218
Rasters for ALS metrics at 1000m2 resolution [Datenpublikation];10.25625/TJNWUI
Oxidation of monoethylene glycol to glycolic acid with gold-based catalyst and glycolic acid isolation by electrodialysis;10.3390/reactions3010004
Der Einfluss von Wald und Witterung auf die Tiefenversickerung;10.3220/PB1643027675000
Deforestation-free land-use change and organic matter-centered management improve the C footprint of oil palm expansion;10.1111/gcb.16069
Habitat quality and surrounding landscape structures influence wild bee occurrence in perennial wildflower strips;10.1016/j.baae.2021.12.007
PlasM - Mikroplastik im Fisch;10.3220/PB1643101116000
PlasM - Microplastic in fish;10.3220/PB1643102022000
Food web structure and community composition: a comparison across space and time in the North Sea;10.1111/ecog.05945
From plate to plug: The impact of offshore renewables on European fisheries and the role of marine spatial planning;10.1016/j.rser.2022.112108
"Working group on international deep pelagic ecosystem surveys (WGIDEEPS 2nd Report; outputs from 2021 meeting)";10.17895/ices.pub.9032
Forest-atmosphere exchange of reactive nitrogen in a remote region - Part I: Measuring temporal dynamics;10.5194/bg-19-389-2022
Evaluation of a binary classification approach to detect herbage scarcity based on behavioral responses of grazing dairy cows;10.3390/s22030968
Production of fumaric acid by Rhizopus arrhizus NRRL 1526: A simple production medium and the kinetic modelling of the bioprocess;10.3390/fermentation8020064
Restoration of tropical montane cloud forest in bracken dominated pastures: The role of nurse shrubs;10.1016/j.foreco.2022.120055
Disentangling the impact of contrasting agricultural management practices on soil microbial communities - Importance of rare bacterial community members;10.1016/j.soilbio.2022.108573
ProByFish - Management von Beifangarten in gemischten Fischereien;10.3220/PB1644240983000
ProByFish - Management of bycatch stocks in mixed fisheries;10.3220/PB1644241551000
Optimierung der Ferkelnestnutzung unter ökologischen Haltungsbedingungen;10.3220/PB1644311004000
Optimization of piglet nest use under organic husbandry conditions;10.3220/PB1644312332000
"Working Group on Cumulative Effects Assessment Approaches in Management (WGCEAM; outputs from 2021 meeting)";10.17895/ices.pub.10040
Validity and validation in archetype analysis: practical assessment framework and guidelines;10.1088/1748-9326/ac4f12
Supply of wood processing residues - a basic calculation approach and its application on the example of wood packaging;10.1016/j.tfp.2022.100199
The role of feed-grade amino acids in the bioeconomy: Contribution from production activities and use in animal feed;10.1016/j.cesys.2022.100073
Physiological performance and biomass growth of different black locust origins growing on a post-mining reclamation site in Eastern Germany;10.3390/f13020315
Workshop on geo-spatial data for small-scale fisheries (WKSSFGEO);10.17895/ices.pub.10032
Reactive nitrogen fluxes over peatland and forest ecosystems using micrometeorological measurement techniques;10.5194/essd-14-743-2022
Potential effects of management options on marine recreational fisheries - the example of the western Baltic cod fishery;10.1093/icesjms/fsac012
Annals of Forest Science promotes multidisciplinary research on forests and wood in a changing world and is now a full Open Access journal;10.1186/s13595-022-01119-x
Angle-dependent acoustic reflectivity of gillnets and their modifications to reduce bycatch of odontocetes using sonar imaging;10.1016/j.fishres.2022.106278
Reducing cod bycatch in flatfish fisheries;10.1016/j.ocecoaman.2022.106058
Deep demersal fish communities respond rapidly to warming in a frontal region between Arctic and Atlantic waters;10.1111/gcb.16113
Lebensmittelabfälle in der Außer-Haus-Verpflegung reduzieren - Handlungsempfehlungen für die Praxis;10.4455/eu.2022.004
"Working Group on Crangon Fisheries and Life History (WGCRAN; outputs from 2021 meeting)";10.17895/ices.pub.10056
Hidden behind the mask: An authentication study on the Aztec mask of the Museum of Ethnography, Budapest, Hungary;10.1016/j.forsciint.2022.111236
Workshop on the further development of the new IBTS gear (WKFDNG);10.17895/ices.pub.10094
Dominant tree species for Germany (2017/2018) [Datenpublikation];10.3220/DATA20221214084846
Introducing selfisher: open source software for statistical analyses of fishing gear selectivity;10.1139/cjfas-2021-0099
Working Group on Beam Trawl Surveys (WGBEAM);10.17895/ices.pub.20376717
Fixed mesh shape reduces variability in codend size selection;10.1139/cjfas-2022-0049
Can livestock farming benefit from industry 4.0 technology? Evidence from recent study;10.3390/app122412844
International Bottom Trawl Survey Working Group (IBTSWG);10.17895/ices.pub.20502828
CO2 induced seawater acidification impacts survival and development of European eel embryos;10.1371/journal.pone.0267228
Working Group on Elasmobranch Fishes (WGEF);10.17895/ices.pub.21089833
Reply to: methodological inconsistencies define thermal bottlenecks in fish life cycle;10.1007/s10682-022-10154-z
Working Group on International Pelagic Surveys (WGIPS);10.17895/ices.pub.20502822
Working Group of Fisheries Acoustics, Science and Technology (WGFAST);10.17895/ices.pub.20178464
Analysing gap dynamics in forest canopies with landscape metrics based on multi-temporal airborne laser scanning surveys - A pilot study;10.1016/j.ecolind.2022.109627
Reconciling concepts of black queen and tragedy of the commons in simulated bulk soil and rhizosphere prokaryote communities;10.3389/fmicb.2022.969784
One-step PCR amplicon sequencing libraries perform better than two-step when assessing soil microbial diversity and community profiles;10.1093/femsle/fnac079
German aquaculture under Covid-19 - impacts of the pandemic on the sector during 2020;10.1051/alr/2022019
Insights on transitions to agroecological farming from across Europe;10.1111/1746-692X.12375
Integrating complementary survey methods to estimate catches in Norway's complex marine recreational hook-and-line fishery;10.1093/icesjms/fsac216
Policy instruments to support agroecological transitions in Europe;10.1111/1746-692X.12367
Exploring sustainability implications of transitions to agroecology: a transdisciplinary perspective;10.1111/1746-692X.12377
Assessing farming systems in transition to agroecology;10.1111/1746-692X.12359
Advancing the contributions of European stakeholders in farming systems to transitions to agroecology;10.1111/1746-692X.12378
Creating conditions for harnessing the potential of transitions to agroecology in Europe and requirements for policy;10.1111/1746-692X.12374
Move and you're dead: commercial trawl fisheries select for fish that don't move far;10.1093/icesjms/fsac104
Apple production and apple value chains in Europe;10.17660/eJHS.2022/059
Der Einfluss menschlicher Lebensstile auf die Pflanzenvielfalt in Gärten und auf Freiflächen;10.5771/9783835349308-175
"Instrumente der Regionalentwicklung, Beteiligungsprozesse und Kapazitätsaufbau: Ergebnisse der Begleitforschung zum Modellvorhaben Land(auf)Schwung im Themenschwerpunkt ""Governance""";10.3220/REP1679300249000
The access to CETA quotas: Extending CGE models with a market for quota licenses;10.1093/qopen/qoac019
"Verbesserung der Schätzung der Totholz-Kohlenstoffvorräte für die deutsche Treibhausgas-Berichterstattung (Totholz-THG) : Schlussbericht zum Vorhaben ; Laufzeit: 06.06.2017 bis 30.06.2021";10.2314/KXP:1812854994
Site choice in recreational fisheries - towards an agent-based approach;10.1109/WSC57314.2022.10015240
Environmental drivers of upper mesopelagic fish assemblages in the Benguela Upwelling System;10.3354/meps14017
Kritische Perspektiven von LandwirtInnen und BürgerInnen auf die Agrarpolitik;10.15203/OEGA_31.11
Farmers’ and citizens’ criticism towards the German food retail sector - insight into the results of a future workshop;10.15203/OEGA_31.17
Der Markt für Fleisch und Fleischprodukte 2021/2022;10.30430/71.2022.5.Fleisch
Interpolated daily temperature and precipitation data for Level II ICP Forests Plots in Germany [Datenpublikation];10.3220/DATA20220503110854
Global deforestation revisited: The role of weak institutions;10.1016/j.landusepol.2022.106383
An application of life-cycle assessment (LCA) to legume cropping;10.5281/zenodo.6538493
CM 527: What’s your story? Capturing fishers’ experiential knowledge through biographical interviews;10.17895/ICES.PUB.21618084
CM 203: Coastal fisheries - quo vadis? Developing visions of the future in a collaborative Stakeholder Think Tank;10.17895/ices.pub.21558579
CM 309: Gender and early career scientist status and differences in participation at an international marine science conference;10.17895/ices.pub.21666584
CM 287: Methods used in monitoring fish communities and what we can learn from it for Baltic Sea no-take zones;10.17895/ices.pub.21618276
Engagement und Klasse : Die Entwicklung klassenspezifischer Unterschiede im Engagement zwischen 1992 und 2017;10.5771/9783748928942-15
Innovative contract solutions for the delivery of agri-environment-climate public goods (CONSOLE);10.3220/PB1673942055000
Calculations of gaseous and particulate emissions from German agriculture 1990 - 2020: Input data and emission results [Datenpublikation];10.3220/DATA20220308095141
Learning behavior and welfare of dairy cows using a virtual fencing system in rotational grazing;10.3920/978-90-8686-937-4
Quantitative trait loci related to growth and wood quality traits in Eucalyptus grandis W. Hill identified through single- and multi-trait genome-wide association studies;10.1007/s11295-022-01570-x
Aboveground biomass density models for NASA's Global Ecosystem Dynamics Investigation (GEDI) lidar mission;10.1016/j.rse.2021.112845
Studies on European rust fungi, Pucciniales: molecular phylogeny, taxonomy, and nomenclature of miscellaneous genera and species in Pucciniastraceae and Coleosporiaceae;10.1007/s11557-022-01810-3
FraxForFuture - research on European ash dieback in Germany;10.1007/s41348-022-00670-z
Regulierende Ökosystemleistungen in Fruchtfolgen mit Ackerbohne (Vicia faba L.);10.3220/PB1649323932000
Regulating ecosystem services in conventional crop rotations with field bean (Vicia faba L.);10.3220/PB1649324243000
Automatisierte Erfassung von Fischaktivität in Kreislaufanlagen;10.3220/PB1649763041000
Automated detection of fish activity in recirculating aquaculture systems;10.3220/PB1649763764000
High phenotypic plasticity, but low signals of local adaptation to climate in a large-scale transplant experiment of Picea abies (L.) Karst. in Europe;10.3389/ffgc.2022.804857
Living, staying, and social relations in rural areas;10.3220/PB1649768912000
"Bewertungsbericht zur Fördermaßnahme ""Landschaftspflege und Gebietsmanagement"" (LaGe) : Programm zur Förderung im ländlichen Raum 2014 bis 2020 in Niedersachsen und Bremen (PFEIL)";10.3220/5LE1650356288000
The Integrated Carbon Observation System in Europe;10.1175/BAMS-D-19-0364.1
Verfügbarkeit von Industrierestholz - Ein grundlegender Berechnungsansatz am Beispiel der Holzpackmittelindustrie;10.3220/PB1650527288000
Supply of wood processing residues - a basic calculation approach and its application on the example of wood packaging;10.3220/PB1650527751000
Metagenomic analysis of the gastrointestinal microbiota of Gadus morhua callarias L. originating from a chemical munition dump site;10.3390/toxics10050206
Effiziente Reduzierung von Lebensmittelabfällen in der Außer-Haus-Verpflegung;10.3220/PB1650966547000
Use of a smartphone application for self-reporting in small-scale fisheries: Lessons learned during a fishing closure in the western Baltic Sea;10.1016/j.ocecoaman.2022.106186
Catch sampling of the pelagic freezer trawler fishery operating in European waters in 2019-2020: joint report of the Dutch and German national on-board sampling programmes;10.18174/564918
Nurse species facilitate persistence of dry forests in agricultural landscapes in Uruguay;10.1111/jvs.13127
Flying insect biomass is negatively associated with urban cover in surrounding landscapes;10.1111/ddi.13532
Catch crops in Lower Saxony - more than 30 years of action against water pollution with nitrates: all in vain?;10.3390/agriculture12040447
Benchmarking soil organic carbon to support agricultural carbon management: A German case study;10.1002/jpln.202200007
"Bewertungsbericht zur Fördermaßnahme ""Flächenmanagement für Klima und Umwelt"" (FKU) : Programm zur Förderung im ländlichen Raum 2014 bis 2020 in Niedersachsen und Bremen (PFEIL)";10.3220/5LE1651567086000
Resilient and sustainable farming systems in Europe : exploring diversity and pathways;10.1017/9781009093569
Transport poverty meets car dependency: A GPS tracking study of socially disadvantaged groups in European rural peripheries;10.1016/j.jtrangeo.2022.103351
Extensive oceanic mesopelagic habitat use of a migratory continental shark species;10.1038/s41598-022-05989-z
"Multimorbidity is associated with the income, education, employment and health domains of area-level deprivation in adult
residents in the UK";10.1038/s41598-022-11310-9
