Dataset Name;Object Identifier;F1: FAIR Metrics Gen2- Unique Identifier;F1: FAIR Metrics Gen2 - Identifier Persistence;F1: FAIR Metrics Gen2 - Data Identifier Persistence;F2: FAIR Metrics Gen2 - Structured Metadata;F2: FAIR Metrics Gen2 - Grounded Metadata;F3: FAIR Metrics Gen2 - Data Identifier Explicitly In Metadata;F3: FAIR Metrics Gen2- Metadata Identifier Explicitly In Metadata;F4: FAIR Metrics Gen2 - Searchable in major search engine;A1.1: FAIR Metrics Gen2 - Uses open free protocol for data retrieval;A1.1: FAIR Metrics Gen2 - Uses open free protocol for metadata retrieval;A1.2: FAIR Metrics Gen2 - Data authentication and authorization;A1.2: FAIR Metrics Gen2 - Metadata authentication and authorization;A2: FAIR Metrics Gen2 - Metadata Persistence;I1: FAIR Metrics Gen2 - Metadata Knowledge Representation Language (weak);I1: FAIR Metrics Gen2 - Metadata Knowledge Representation Language (strong);I1: FAIR Metrics Gen2 - Data Knowledge Representation Language (weak);I1: FAIR Metrics Gen2 - Data Knowledge Representation Language (strong);I2: FAIR Metrics Gen2- Metadata uses FAIR vocabularies (weak);I2: FAIR Metrics Gen2 - Metadata uses FAIR vocabularies (strong);I3: FAIR Metrics Gen2 - Metadata contains qualified outward references);R1.1: FAIR Metrics Gen2 - Metadata Includes License (strong);R1.1: FAIR Metrics Gen2 - Metadata Includes License (weak);Average;Unnamed: 25;A;F;I;R;A1;F1;F2;F3;F4;I1;I2;I3;R1;R1.1;R1.2;R1.3;FAIR;0.00;1.00;2.00;3.00;4.00;5.00;6.00;7.00;8.00;9.00;10.00;11.00;12.00;13.00;14.00;15.00;16.00;17.00;18.00;19.00;20.00;21.00;22.00;23.00;24.00;25.00;26.00;27.00;28.00;29.00;30.00;31.00;32.00;33.00;34.00;35.00;36.00;37.00;38.00;39.00;40.00;41.00;42.00
LaForeT  Land cover and land use polygons from participatory mapping;10.3220/DATA20240213131637-0;100.00;100.00;0.00;100.00;100.00;0.00;0.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;100.00;100.00;54.00;;33.33;57.14;75.00;50.00;33.33;100.00;50.00;0.00;50.00;100.00;100.00;0.00;25.00;100.00;50.00;50.00;54.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dataset for Evaluation of a novel microfluidic chip-like device for purifying bovine frozen-thawed semen for in vitro fertilization;10.5281/zenodo.8089417;100.00;100.00;0.00;100.00;100.00;100.00;0.00;0.00;100.00;100.00;100.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;63.00;;100.00;100.00;75.00;60.00;100.00;100.00;100.00;100.00;100.00;100.00;0.00;100.00;25.00;100.00;50.00;100.00;79.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Supplementary material Comparative Genomic Analysis of Antimicrobial-Resistant Escherichia coli from South American Camelids in Central Germany;10.5281/zenodo.8036893;100.00;100.00;0.00;100.00;100.00;0.00;0.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;50.00;;33.33;85.71;75.00;50.00;33.33;100.00;100.00;0.00;100.00;100.00;0.00;100.00;25.00;100.00;50.00;50.00;62.50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Emission data from stoves available on the market at a test facility;10.17632/7drrb87j7r.2;100.00;100.00;0.00;100.00;100.00;0.00;0.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;50.00;;33.33;85.71;75.00;50.00;33.33;100.00;100.00;0.00;100.00;100.00;0.00;100.00;25.00;100.00;50.00;50.00;62.50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Modellling GHG reduction through emission reduction at log wood stoves;10.17632/ygt84rzkbj.1;100.00;100.00;0.00;100.00;100.00;0.00;0.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;50.00;;33.33;85.71;75.00;50.00;33.33;100.00;100.00;0.00;100.00;100.00;0.00;100.00;25.00;100.00;50.00;50.00;62.50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Emission data from stoves available on the market at a test facility;10.17632/7drrb87j7r.1;100.00;100.00;0.00;100.00;100.00;0.00;0.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;50.00;;33.33;85.71;75.00;50.00;33.33;100.00;100.00;0.00;100.00;100.00;0.00;100.00;25.00;100.00;50.00;50.00;62.50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Contents of Mg, Al and Cd in CaCO3 enriched food samples and CaCO3 rich supplements;10.25826/Data20230517-114219-0;100.00;100.00;0.00;100.00;100.00;0.00;0.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;100.00;100.00;54.00;;33.33;85.71;75.00;50.00;33.33;100.00;100.00;0.00;100.00;100.00;0.00;100.00;25.00;100.00;50.00;50.00;62.50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Agricultural land use (raster);10.3220/DATA20230707103051-0;100.00;100.00;0.00;100.00;100.00;0.00;0.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;0.00;0.00;45.00;;50.00;57.14;75.00;40.00;50.00;100.00;50.00;0.00;50.00;100.00;100.00;0.00;25.00;50.00;50.00;50.00;52.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Agricultural land use (vector);10.3220/DATA20230707103117-0;100.00;100.00;0.00;100.00;100.00;0.00;0.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;0.00;0.00;45.00;;50.00;57.14;75.00;40.00;50.00;100.00;50.00;0.00;50.00;100.00;100.00;0.00;25.00;50.00;50.00;50.00;52.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Crop yields and area in Germany from 1979 to 2021 at a harmonized district-level;10.3220/DATA20230511161828-0;100.00;100.00;0.00;100.00;100.00;0.00;0.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;100.00;100.00;54.00;;33.33;57.14;75.00;50.00;33.33;100.00;50.00;0.00;50.00;100.00;100.00;0.00;25.00;100.00;50.00;50.00;54.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
