Dataset Name;Object Identifier;F1: FAIR Metrics Gen2- Unique Identifier;F1: FAIR Metrics Gen2 - Identifier Persistence;F1: FAIR Metrics Gen2 - Data Identifier Persistence;F2: FAIR Metrics Gen2 - Structured Metadata;F2: FAIR Metrics Gen2 - Grounded Metadata;F3: FAIR Metrics Gen2 - Data Identifier Explicitly In Metadata;F3: FAIR Metrics Gen2- Metadata Identifier Explicitly In Metadata;F4: FAIR Metrics Gen2 - Searchable in major search engine;A1.1: FAIR Metrics Gen2 - Uses open free protocol for data retrieval;A1.1: FAIR Metrics Gen2 - Uses open free protocol for metadata retrieval;A1.2: FAIR Metrics Gen2 - Data authentication and authorization;A1.2: FAIR Metrics Gen2 - Metadata authentication and authorization;A2: FAIR Metrics Gen2 - Metadata Persistence;I1: FAIR Metrics Gen2 - Metadata Knowledge Representation Language (weak);I1: FAIR Metrics Gen2 - Metadata Knowledge Representation Language (strong);I1: FAIR Metrics Gen2 - Data Knowledge Representation Language (weak);I1: FAIR Metrics Gen2 - Data Knowledge Representation Language (strong);I2: FAIR Metrics Gen2- Metadata uses FAIR vocabularies (weak);I2: FAIR Metrics Gen2 - Metadata uses FAIR vocabularies (strong);I3: FAIR Metrics Gen2 - Metadata contains qualified outward references);R1.1: FAIR Metrics Gen2 - Metadata Includes License (strong);R1.1: FAIR Metrics Gen2 - Metadata Includes License (weak);Average;;A;F;I;R;A1;F1;F2;F3;F4;I1;I2;I3;R1;R1.1;R1.2;R1.3;FAIR
Warm winter 2020 ecosystem eddy covariance flux product from Gebesee;10.18160/KVAC-KYEX;100;100;0;100;100;100;0;0;100;100;100;100;0;100;100;0;0;100;0;100;0;100;63;;66.67;100.0;100.0;80.0;66.67;100.0;100.0;100.0;100.0;100.0;100.0;100.0;75.0;100.0;50.0;100.0;87.5
Pflanzensteckbriefe;10.48480/cz89-1p73;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;59;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;100.0;0.0;0.0;25.0;100.0;50.0;50.0;54.17
Modellierungsergebnisse zur Nutzwärmeerzeugung für Teilmärkte mit Ein- und Zweifamilienhäusern und verschiedene Klimaschutzszenarien und Biomassepotenziale (2015-2050);10.17632/2t7nf25pgd.1;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;0;100;50;;33.33;85.71;75.0;50.0;33.33;100.0;100.0;0.0;100.0;100.0;0.0;100.0;25.0;100.0;50.0;50.0;62.5
OptDienE;10.17632/58b9xks7sz.1;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;0;100;50;;33.33;85.71;75.0;50.0;33.33;100.0;100.0;0.0;100.0;100.0;0.0;100.0;25.0;100.0;50.0;50.0;62.5
Mare-MAGE database A curated reference database of fish mitochondrial genes;10.6084/M9.FIGSHARE.C.5410161.V5;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;0;100;50;;33.33;85.71;50.0;50.0;33.33;100.0;100.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;58.33
Rasters for ALS metrics at 1000m² resolution;10.25625/TJNWUI;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;0;0;45;;66.67;100.0;75.0;60.0;66.67;100.0;100.0;100.0;100.0;100.0;0.0;100.0;50.0;50.0;50.0;100.0;75.0
Land use maps 2020 based on LiDAR;10.25625/LOPQ2K;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;0;0;45;;66.67;100.0;75.0;60.0;66.67;100.0;100.0;100.0;100.0;100.0;0.0;100.0;50.0;50.0;50.0;100.0;75.0
Landscape Assessment plots maps (with RGB, canopy height, NDVI and 3d point cloud);10.25625/MDWJR3;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;0;0;45;;66.67;100.0;75.0;70.0;66.67;100.0;100.0;100.0;100.0;100.0;0.0;100.0;50.0;100.0;50.0;100.0;79.17
Landscape Assessment (LA) hyperspectral vegetation indices;10.25625/1LI57Z;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;0;0;45;;66.67;100.0;75.0;60.0;66.67;100.0;100.0;100.0;100.0;100.0;0.0;100.0;50.0;50.0;50.0;100.0;75.0
Core plots hyperspectral vegetation indices;10.25625/BXLGQJ;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;0;0;45;;66.67;100.0;75.0;60.0;66.67;100.0;100.0;100.0;100.0;100.0;0.0;100.0;50.0;50.0;50.0;100.0;75.0
Normalized Difference Vegetation Indices (NDVIs) at 1 m resolution;10.25625/AIDFG2;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;0;0;45;;66.67;100.0;75.0;60.0;66.67;100.0;100.0;100.0;100.0;100.0;0.0;100.0;50.0;50.0;50.0;100.0;75.0
Rasters for ALS metrics at 10m resolution;10.25625/HWTBW5;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;0;0;45;;66.67;100.0;75.0;70.0;66.67;100.0;100.0;100.0;100.0;100.0;0.0;100.0;50.0;100.0;50.0;100.0;79.17
Rasters for ALS metrics at 50m resolution;10.25625/6JQDNA;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;0;0;45;;66.67;100.0;75.0;60.0;66.67;100.0;100.0;100.0;100.0;100.0;0.0;100.0;50.0;50.0;50.0;100.0;75.0
Rasters of vegetation canopy height estimated with spaceborne TanDEM-X data;10.25625/QJZ9XI;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;0;0;45;;66.67;100.0;75.0;60.0;66.67;100.0;100.0;100.0;100.0;100.0;0.0;100.0;50.0;50.0;50.0;100.0;75.0
High-resolution true-color orthophotos with 5 cm resolution;10.25625/1RB4CC;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;0;0;45;;66.67;100.0;75.0;60.0;66.67;100.0;100.0;100.0;100.0;100.0;0.0;100.0;50.0;50.0;50.0;100.0;75.0
Airborne acquisition extent 2020;10.25625/EKRJI2;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;0;0;45;;66.67;100.0;75.0;70.0;66.67;100.0;100.0;100.0;100.0;100.0;0.0;100.0;50.0;100.0;50.0;100.0;79.17
Mercury and explosive compound 4-aminodinitrotoluene (4-ADNT) in dab (Limanda limanda) caught at munition dumping site Kolberger Heide in the Kiel Bight, Baltic Sea;10.1594/PANGAEA.949114;100;100;0;100;100;100;0;0;100;100;100;100;0;100;100;0;0;100;0;100;0;100;63;;100.0;100.0;100.0;80.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;75.0;100.0;50.0;100.0;91.67
Unexpected microbial metabolic responses to elevated temperatures and nitrogen addition in subarctic soils under different land-use;10.5281/zenodo.6457749;100;100;0;100;100;100;0;0;100;100;100;100;0;100;100;0;0;100;0;100;0;100;63;;66.67;100.0;75.0;60.0;66.67;100.0;100.0;100.0;100.0;100.0;0.0;100.0;25.0;100.0;50.0;100.0;75.0
Heavy metal contamination in European conger (Conger conger, Linnaeus 1758) along the coastline of Morocco;10.3220/DATA20240326100006-0;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;54;;33.33;57.14;75.0;50.0;33.33;100.0;50.0;0.0;50.0;100.0;100.0;0.0;25.0;100.0;50.0;50.0;54.17
Mercury and explosive compound 4-aminodinitrotoluene (4-ADNT) in dab (Limanda limanda) caught at munition dumping site Kolberger Heide in the Kiel Bight, Baltic Sea;10.1594/PANGAEA.949114;100;100;0;100;100;100;0;0;100;100;100;100;0;100;100;0;0;100;0;100;0;100;63;;100.0;100.0;100.0;80.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;75.0;100.0;50.0;100.0;91.67
Dashboard biogene Rohstoffe in Deutschland;10.48480/pc11-xz36;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;59;;66.67;71.43;50.0;50.0;66.67;100.0;50.0;0.0;100.0;100.0;0.0;0.0;25.0;100.0;50.0;50.0;58.33
Reactive nitrogen fluxes over peatland (Bourtanger Moor) and forest (Bavarian Forest National Park) using micrometeorological measurement techniques;10.5281/ZENODO.5841074;100;100;0;100;100;100;0;0;100;100;100;100;0;100;100;0;0;100;0;100;0;100;63;;100.0;100.0;75.0;60.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0;100.0;25.0;100.0;50.0;100.0;79.17
D-BeONE.1.2 BeONE dataset;10.5281/zenodo.7335590;100;100;0;100;100;100;0;0;100;100;100;100;0;100;100;0;0;100;0;100;0;100;63;;100.0;100.0;75.0;60.0;100.0;100.0;100.0;100.0;100.0;100.0;0.0;100.0;25.0;100.0;50.0;100.0;79.17
Data: Nematode-based indices in soil ecology - application, utility and future directions;10.5073/20211217-170559;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;59;;33.33;85.71;75.0;50.0;33.33;100.0;100.0;0.0;100.0;100.0;0.0;100.0;25.0;100.0;50.0;50.0;62.5
Wahrnehmung und Bewertung der Mobilitätssituation Geflüchteter in den Untersuchungslandkreisen und -gemeinden durch lokale Expert*innen aus Verwaltung, Politik und Zivilgesellschaft;10.3220/DATA20211214144336;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;54;;50.0;57.14;75.0;40.0;50.0;100.0;50.0;0.0;50.0;100.0;100.0;0.0;25.0;50.0;50.0;50.0;52.08
Durchschnittliche z-Werte der aus den Einzelindikatoren gebildeten Dimensionsindices der Untersuchungsgemeinden und -landkreise;10.3220/DATA20211214145433;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;54;;50.0;57.14;75.0;40.0;50.0;100.0;50.0;0.0;50.0;100.0;100.0;0.0;25.0;50.0;50.0;50.0;52.08
z-Werte der Indikatorausprägungen der Untersuchungslandkreise und -gemeinden nach Integrationsdimensionen;10.3220/DATA20211214144807;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;54;;50.0;57.14;75.0;40.0;50.0;100.0;50.0;0.0;50.0;100.0;100.0;0.0;25.0;50.0;50.0;50.0;52.08
Durchschnittliche z-Werte der Dimensionsindices für alle Untersuchungslandkreise und -gemeinden;10.3220/DATA20211214145104;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;54;;50.0;57.14;75.0;40.0;50.0;100.0;50.0;0.0;50.0;100.0;100.0;0.0;25.0;50.0;50.0;50.0;52.08
Durchschnittliche z-Werte der Dimensionsindices für alle Untersuchungslandkreise und -gemeinden;10.3220/DATA20211214145643;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;54;;50.0;57.14;75.0;40.0;50.0;100.0;50.0;0.0;50.0;100.0;100.0;0.0;25.0;50.0;50.0;50.0;52.08
Durchschnittliche bevölkerungsgewichtete Wegezeit in den Untersuchungslandkreisen und ausgewählten kreiseigenen Gemeinden, differenziert nach Verkehrsträgern, in Minuten;10.3220/DATA20211214150102;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;54;;50.0;57.14;75.0;40.0;50.0;100.0;50.0;0.0;50.0;100.0;100.0;0.0;25.0;50.0;50.0;50.0;52.08
Fokusgruppen mit Geflüchteten;10.3220/DATA20211214151054;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;54;;50.0;57.14;75.0;40.0;50.0;100.0;50.0;0.0;50.0;100.0;100.0;0.0;25.0;50.0;50.0;50.0;52.08
