Dataset Name;Object Identifier;F1: FAIR Metrics Gen2- Unique Identifier;F1: FAIR Metrics Gen2 - Identifier Persistence;F1: FAIR Metrics Gen2 - Data Identifier Persistence;F2: FAIR Metrics Gen2 - Structured Metadata;F2: FAIR Metrics Gen2 - Grounded Metadata;F3: FAIR Metrics Gen2 - Data Identifier Explicitly In Metadata;F3: FAIR Metrics Gen2- Metadata Identifier Explicitly In Metadata;F4: FAIR Metrics Gen2 - Searchable in major search engine;A1.1: FAIR Metrics Gen2 - Uses open free protocol for data retrieval;A1.1: FAIR Metrics Gen2 - Uses open free protocol for metadata retrieval;A1.2: FAIR Metrics Gen2 - Data authentication and authorization;A1.2: FAIR Metrics Gen2 - Metadata authentication and authorization;A2: FAIR Metrics Gen2 - Metadata Persistence;I1: FAIR Metrics Gen2 - Metadata Knowledge Representation Language (weak);I1: FAIR Metrics Gen2 - Metadata Knowledge Representation Language (strong);I1: FAIR Metrics Gen2 - Data Knowledge Representation Language (weak);I1: FAIR Metrics Gen2 - Data Knowledge Representation Language (strong);I2: FAIR Metrics Gen2- Metadata uses FAIR vocabularies (weak);I2: FAIR Metrics Gen2 - Metadata uses FAIR vocabularies (strong);I3: FAIR Metrics Gen2 - Metadata contains qualified outward references);R1.1: FAIR Metrics Gen2 - Metadata Includes License (strong);R1.1: FAIR Metrics Gen2 - Metadata Includes License (weak);Average;;A;F;I;R;A1;F1;F2;F3;F4;I1;I2;I3;R1;R1.1;R1.2;R1.3;FAIR
Calculations of gaseous and particulate emissions from German agriculture 1990 - 2022: Input data and emission results;10.3220/DATA20240219164429-0;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;54;;33.33;57.14;75;50;33.33;100;50;0;50;100;100;0;25;100;50;50;54.17
OPVanno: Orthopoxvirus annotation and assembly pipeline;10.5281/zenodo.10784666;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;0;100;50;;33.33;71.43;75;50;33.33;100;50;0;100;100;0;100;25;100;50;50;58.33
Dataset: Egg authentication using stable isotopes;10.25826/Data20240229-152143-0;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;54;;66.67;85.71;75;50;66.67;100;100;0;100;100;0;100;25;100;50;50;66.67
Agricultural land use (raster) : National-scale crop type maps for Germany from combined time series of Sentinel-1, Sentinel-2 and Landsat data (2022);10.5281/zenodo.10617623;100;100;0;100;100;100;0;0;100;100;100;100;0;100;100;0;0;100;0;100;0;100;63;;66.67;100;75;60;66.67;100;100;100;100;100;0;100;25;100;50;100;75
Agricultural land use (raster) : National-scale crop type maps for Germany from combined time series of Sentinel-1, Sentinel-2 and Landsat data (2022);10.5281/zenodo.10617623;100;100;0;100;100;100;0;0;100;100;100;100;0;100;100;0;0;100;0;100;0;100;63;;66.67;100;75;60;66.67;100;100;100;100;100;0;100;25;100;50;100;75
Agricultural land use (raster) : National-scale crop type maps for Germany from combined time series of Sentinel-1, Sentinel-2 and Landsat data (2017 to 2021);10.5281/zenodo.10617623;100;100;0;100;100;100;0;0;100;100;100;100;0;100;100;0;0;100;0;100;0;100;63;;66.67;100;75;60;66.67;100;100;100;100;100;0;100;25;100;50;100;75
Agricultural land use (vector) : National-scale crop type maps for Germany from combined time series of Sentinel-1, Sentinel-2 and Landsat data (2017 to 2021);10.5281/zenodo.10619783;100;100;0;100;100;100;0;0;100;100;100;100;0;100;100;0;0;100;0;100;0;100;63;;66.67;100;75;60;66.67;100;100;100;100;100;0;100;25;100;50;100;75
Agricultural land use (vector) : National-scale crop type maps for Germany from combined time series of Sentinel-1, Sentinel-2 and Landsat data (2022);10.5281/zenodo.10619783;100;100;0;100;100;100;0;0;100;100;100;100;0;100;100;0;0;100;0;100;0;100;63;;66.67;100;75;60;66.67;100;100;100;100;100;0;100;25;100;50;100;75
Dataset: Tabellenanhang Handbuch N-Gesamtbilanz Bilanzjahr 2019, Handbuch, 2. überarbeitete Fassung;10.5073/20240125-113803-0;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;59;;33.33;85.71;75;50;33.33;100;100;0;100;100;0;100;25;100;50;50;62.5
Grassland mowing events across Germany detected from combined Sentinel-2 and Landsat time series for the years 2017 - 2021;10.5281/zenodo.10609590;100;100;0;100;100;100;0;0;100;100;100;100;0;100;100;0;0;100;0;100;0;100;63;;66.67;100;75;60;66.67;100;100;100;100;100;0;100;25;100;50;100;75
Grassland mowing events across Germany detected from combined Sentinel-2 and Landsat time series for the year 2022;10.5281/zenodo.10609590;100;100;0;100;100;100;0;0;100;100;100;100;0;100;100;0;0;100;0;100;0;100;63;;66.67;100;75;60;66.67;100;100;100;100;100;0;100;25;100;50;100;75
Perenniporia meridionalis genomic DNA sequence contains ITS1, 5.8S rRNA gene, ITS2;10.1007/s00253-024-13089-3;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;59;;66.67;71.43;100;50;66.67;100;100;0;50;100;100;100;25;100;50;50;66.67
Perenniporia meridionalis genomic DNA sequence contains ITS1, 5.8S rRNA gene, ITS2;10.1007/s00253-024-13089-3;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;59;;66.67;71.43;100;50;66.67;100;100;0;50;100;100;100;25;100;50;50;66.67
Perenniporia meridionalis genomic DNA sequence contains ITS1, 5.8S rRNA gene, ITS2;10.1007/s00253-024-13089-3;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;59;;66.67;71.43;100;50;66.67;100;100;0;50;100;100;100;25;100;50;50;66.67
ITS sequences from Perenniporia meridionalis;10.1007/s00253-024-13089-3;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;59;;66.67;71.43;100;50;66.67;100;100;0;50;100;100;100;25;100;50;50;66.67
Perenniporia meridionalis genomic DNA sequence contains ITS1, 5.8S rRNA gene, ITS2;10.1007/s00253-024-13089-3;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;59;;66.67;71.43;100;50;66.67;100;100;0;50;100;100;100;25;100;50;50;66.67
Perenniporia meridionalis genomic DNA sequence contains ITS1, 5.8S rRNA gene, ITS2;10.1007/s00253-024-13089-3;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;59;;66.67;71.43;100;50;66.67;100;100;0;50;100;100;100;25;100;50;50;66.67
Data set: blank values from heubach dustmeter-testing sugar beets, version 2 (correction);10.5073/20240115-165905-0;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;59;;33.33;85.71;75;50;33.33;100;100;0;100;100;0;100;25;100;50;50;62.5
Dataset: Identifying environmental factors affecting the microbial community composition on outdoor structural timber;10.3220/DATA20240219102640-0;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;54;;33.33;57.14;75;50;33.33;100;50;0;50;100;100;0;25;100;50;50;54.17
Referenzdaten aus dem Projekt FNEWS;10.3220/DATA20240111153336-0;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;54;;33.33;57.14;75;50;33.33;100;50;0;50;100;100;0;25;100;50;50;54.17
FNEWS-Jahresprodukte 2018 bis 2022;10.3220/DATA20240307175924-0;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;54;;33.33;57.14;75;50;33.33;100;50;0;50;100;100;0;25;100;50;50;54.17
Grassland-use intensity maps for Switzerland;10.16904/envidat.428;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;0;100;50;;33.33;71.43;25;50;33.33;100;100;0;50;50;0;0;25;100;50;50;50
Sentinel-2 machine learning dataset for tree species classification in Germany;10.3220/DATA20240402122351-0;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;54;;33.33;57.14;75;50;33.33;100;50;0;50;100;100;0;25;100;50;50;54.17
Microsatellite/SSR dataset: pomological and molecular characterization of apple cultivars (Malus × domestica Borkh.) of the German Fruit Genebank;10.5073/20231220-114634-0;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;59;;33.33;85.71;75;40;33.33;100;100;0;100;100;0;100;25;50;50;50;58.33
sorcering: Soil ORganic Carbon & CN Ratio drIven Nitrogen modellinG framework;10.3220/DATA20240105170154-0;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;54;;50;57.14;75;40;50;100;50;0;50;100;100;0;25;50;50;50;52.08
Fungal and Bacterial Diversity of exterior construction timber;10.1007/s00253-024-13089-3;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;59;;66.67;71.43;100;50;66.67;100;100;0;50;100;100;100;25;100;50;50;66.67
Data set: blank values from heubach dustmeter-testing maize, barley and onion;10.5073/20231127-132157-0;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;59;;33.33;85.71;75;50;33.33;100;100;0;100;100;0;100;25;100;50;50;62.5
Data set: blank values from heubach dustmeter-testing wheat;10.5073/20231127-094029-0;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;59;;33.33;85.71;75;50;33.33;100;100;0;100;100;0;100;25;100;50;50;62.5
Dataset: Risk assessment requires several bee species to address species-specific sensitivity to insecticides at field-realistic concentrations;10.5073/20231124-160110-0;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;59;;33.33;85.71;75;50;33.33;100;100;0;100;100;0;100;25;100;50;50;62.5
Data set: blank values from heubach dustmeter-testing sugar beets, version 1 (correction);10.5073/20231122-114346-0;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;0;0;100;100;100;54;;33.33;85.71;75;50;33.33;100;100;0;100;100;0;100;25;100;50;50;62.5
Crop yields and area in Germany from 1979 to 2021 at a harmonized district-level;10.3220/DATA20231117103252-0;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;54;;33.33;57.14;75;50;33.33;100;50;0;50;100;100;0;25;100;50;50;54.17
Dataset about dermal exposure measurements on a life like cow dummy with the collector Tyvek and the fluorescent dye pyranine;10.5073/20231101-103121-0;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;59;;33.33;85.71;75;50;33.33;100;100;0;100;100;0;100;25;100;50;50;62.5
Video recording of the over the cow scenario for estimating dermal exposures during the application of a urease inhibitor;10.5073/20231101-110657-0;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;59;;33.33;85.71;75;50;33.33;100;100;0;100;100;0;100;25;100;50;50;62.5
Data set: Comparison of two different experimental environments for resistance screenings for leafhopper-transmitted wheat dwarf virus in wheat;10.5073/20231020-150935-0;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;59;;33.33;85.71;75;50;33.33;100;100;0;100;100;0;100;25;100;50;50;62.5
Data set: blank values from heubach dustmeter-testing sugar beets;10.5073/20230822-113751-0;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;0;0;100;100;100;54;;33.33;85.71;75;50;33.33;100;100;0;100;100;0;100;25;100;50;50;62.5
Addition of soluble fiber to standard purified diets is important for gut morphology and microbiome in mice;10.25826/Data20230821-143408-0;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;54;;33.33;85.71;75;50;33.33;100;100;0;100;100;0;100;25;100;50;50;62.5
[Dataset] : Genotyping of European Toxoplasma gondii strains by a new high-resolution next-generation sequencing-based method;10.5281/zenodo.8248524;100;100;0;100;100;100;0;0;100;100;100;100;0;100;100;0;0;100;0;100;0;100;63;;100;85.71;75;50;100;100;50;100;100;100;0;100;25;50;50;100;70.83
Genotype differentiation of highly pathogenic avian influenza viruses (HPAIV) of the goose/Guangdong lineage in Germany - Derivation and deployment of reference sequences;10.5281/zenodo.8233814;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;0;100;50;;33.33;85.71;75;50;33.33;100;100;0;100;100;0;100;25;100;50;50;62.5
Dataset for a systematic literature review on drivers of forest area development;10.3220/DATA20231113122143-0;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;54;;50;57.14;75;40;50;100;50;0;50;100;100;0;25;50;50;50;52.08
