Dataset Name;Object Identifier;F1: FAIR Metrics Gen2- Unique Identifier;F1: FAIR Metrics Gen2 - Identifier Persistence;F1: FAIR Metrics Gen2 - Data Identifier Persistence;F2: FAIR Metrics Gen2 - Structured Metadata;F2: FAIR Metrics Gen2 - Grounded Metadata;F3: FAIR Metrics Gen2 - Data Identifier Explicitly In Metadata;F3: FAIR Metrics Gen2- Metadata Identifier Explicitly In Metadata;F4: FAIR Metrics Gen2 - Searchable in major search engine;A1.1: FAIR Metrics Gen2 - Uses open free protocol for data retrieval;A1.1: FAIR Metrics Gen2 - Uses open free protocol for metadata retrieval;A1.2: FAIR Metrics Gen2 - Data authentication and authorization;A1.2: FAIR Metrics Gen2 - Metadata authentication and authorization;A2: FAIR Metrics Gen2 - Metadata Persistence;I1: FAIR Metrics Gen2 - Metadata Knowledge Representation Language (weak);I1: FAIR Metrics Gen2 - Metadata Knowledge Representation Language (strong);I1: FAIR Metrics Gen2 - Data Knowledge Representation Language (weak);I1: FAIR Metrics Gen2 - Data Knowledge Representation Language (strong);I2: FAIR Metrics Gen2- Metadata uses FAIR vocabularies (weak);I2: FAIR Metrics Gen2 - Metadata uses FAIR vocabularies (strong);I3: FAIR Metrics Gen2 - Metadata contains qualified outward references);R1.1: FAIR Metrics Gen2 - Metadata Includes License (strong);R1.1: FAIR Metrics Gen2 - Metadata Includes License (weak);Average;;A;F;I;R;A1;F1;F2;F3;F4;I1;I2;I3;R1;R1.1;R1.2;R1.3;FAIR
LaForeT  Land cover and land use polygons from participatory mapping;10.3220/DATA20240213131637-0;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;54;;33.33;57.14;75;50;33.33;100;50;0;50;100;100;0;25;100;50;50;54.17
Dataset for Evaluation of a novel microfluidic chip-like device for purifying bovine frozen-thawed semen for in vitro fertilization;10.5281/zenodo.8089417;100;100;0;100;100;100;0;0;100;100;100;100;0;100;100;0;0;100;0;100;0;100;63;;100;100;75;60;100;100;100;100;100;100;0;100;25;100;50;100;79.17
Supplementary material Comparative Genomic Analysis of Antimicrobial-Resistant Escherichia coli from South American Camelids in Central Germany;10.5281/zenodo.8036893;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;0;100;50;;33.33;85.71;75;50;33.33;100;100;0;100;100;0;100;25;100;50;50;62.5
Emission data from stoves available on the market at a test facility;10.17632/7drrb87j7r.2;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;0;100;50;;33.33;85.71;75;50;33.33;100;100;0;100;100;0;100;25;100;50;50;62.5
Modellling GHG reduction through emission reduction at log wood stoves;10.17632/ygt84rzkbj.1;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;0;100;50;;33.33;85.71;75;50;33.33;100;100;0;100;100;0;100;25;100;50;50;62.5
Emission data from stoves available on the market at a test facility;10.17632/7drrb87j7r.1;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;0;100;50;;33.33;85.71;75;50;33.33;100;100;0;100;100;0;100;25;100;50;50;62.5
Contents of Mg, Al and Cd in CaCO3 enriched food samples and CaCO3 rich supplements;10.25826/Data20230517-114219-0;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;54;;33.33;85.71;75;50;33.33;100;100;0;100;100;0;100;25;100;50;50;62.5
Agricultural land use (raster);10.3220/DATA20230707103051-0;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;0;0;45;;50;57.14;75;40;50;100;50;0;50;100;100;0;25;50;50;50;52.08
Agricultural land use (vector);10.3220/DATA20230707103117-0;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;0;0;45;;50;57.14;75;40;50;100;50;0;50;100;100;0;25;50;50;50;52.08
Crop yields and area in Germany from 1979 to 2021 at a harmonized district-level;10.3220/DATA20230511161828-0;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;54;;33.33;57.14;75;50;33.33;100;50;0;50;100;100;0;25;100;50;50;54.17
