Dataset Name;Object Identifier;F1: FAIR Metrics Gen2- Unique Identifier;F1: FAIR Metrics Gen2 - Identifier Persistence;F1: FAIR Metrics Gen2 - Data Identifier Persistence;F2: FAIR Metrics Gen2 - Structured Metadata;F2: FAIR Metrics Gen2 - Grounded Metadata;F3: FAIR Metrics Gen2 - Data Identifier Explicitly In Metadata;F3: FAIR Metrics Gen2- Metadata Identifier Explicitly In Metadata;F4: FAIR Metrics Gen2 - Searchable in major search engine;A1.1: FAIR Metrics Gen2 - Uses open free protocol for data retrieval;A1.1: FAIR Metrics Gen2 - Uses open free protocol for metadata retrieval;A1.2: FAIR Metrics Gen2 - Data authentication and authorization;A1.2: FAIR Metrics Gen2 - Metadata authentication and authorization;A2: FAIR Metrics Gen2 - Metadata Persistence;I1: FAIR Metrics Gen2 - Metadata Knowledge Representation Language (weak);I1: FAIR Metrics Gen2 - Metadata Knowledge Representation Language (strong);I1: FAIR Metrics Gen2 - Data Knowledge Representation Language (weak);I1: FAIR Metrics Gen2 - Data Knowledge Representation Language (strong);I2: FAIR Metrics Gen2- Metadata uses FAIR vocabularies (weak);I2: FAIR Metrics Gen2 - Metadata uses FAIR vocabularies (strong);I3: FAIR Metrics Gen2 - Metadata contains qualified outward references);R1.1: FAIR Metrics Gen2 - Metadata Includes License (strong);R1.1: FAIR Metrics Gen2 - Metadata Includes License (weak);Average;Unnamed: 25;A;F;I;R;A1;F1;F2;F3;F4;I1;I2;I3;R1;R1.1;R1.2;R1.3;FAIR;0.00;1.00;2.00;3.00;4.00;5.00;6.00;7.00;8.00;9.00;10.00;11.00;12.00;13.00;14.00;15.00;16.00;17.00;18.00;19.00;20.00;21.00;22.00;23.00;24.00;25.00;26.00;27.00;28.00;29.00;30.00;31.00;32.00;33.00;34.00;35.00;36.00;37.00;38.00;39.00;40.00;41.00;42.00
Trichoderma afroharzianum Genome sequencing and assembly;10.1016/j.ijfoodmicro.2018.04.021;100.00;100.00;0.00;100.00;100.00;0.00;100.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;100.00;100.00;0.00;0.00;54.00;;33.33;35.71;50.00;10.00;33.33;100.00;25.00;0.00;0.00;50.00;100.00;0.00;0.00;0.00;0.00;50.00;27.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Long term monitoring of a SCR system in a research biogas plant;10.17632/tfzxxfsdt6.1;100.00;100.00;0.00;100.00;100.00;0.00;0.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;50.00;;66.67;85.71;75.00;50.00;66.67;100.00;100.00;0.00;100.00;100.00;0.00;100.00;25.00;100.00;50.00;50.00;66.67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pomological and molecular characterization of sweet cherry cultivars (Prunus avium L.) of the German Fruit Genebank;10.5073/20210209-092933;100.00;100.00;0.00;100.00;100.00;0.00;100.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;0.00;0.00;50.00;;50.00;85.71;75.00;30.00;50.00;100.00;100.00;0.00;100.00;100.00;0.00;100.00;25.00;0.00;50.00;50.00;56.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Quantification of European Biomass Potentials;10.48480/pc11-xz36;100.00;100.00;0.00;100.00;100.00;0.00;100.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;100.00;100.00;59.00;;66.67;71.43;50.00;50.00;66.67;100.00;50.00;0.00;100.00;100.00;0.00;0.00;25.00;100.00;50.00;50.00;58.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Survey of farmers on their perception of soil compaction and application of soil conservation measures;10.20387/bonares-k85p-tr5n;100.00;100.00;0.00;100.00;100.00;0.00;0.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;50.00;;33.33;71.43;50.00;50.00;33.33;100.00;50.00;0.00;100.00;50.00;0.00;100.00;25.00;100.00;50.00;50.00;54.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AHOI v22.01;10.6084/m9.figshare.3458837.v3;100.00;100.00;0.00;100.00;100.00;0.00;0.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;50.00;;66.67;100.00;75.00;60.00;66.67;100.00;100.00;100.00;100.00;100.00;0.00;100.00;25.00;100.00;50.00;100.00;75.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Landscape Assessment (LA) centre plot coordinates;10.25625/SSN6RO;100.00;100.00;0.00;100.00;100.00;0.00;0.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;0.00;0.00;45.00;;66.67;100.00;75.00;60.00;66.67;100.00;100.00;100.00;100.00;100.00;0.00;100.00;50.00;50.00;50.00;100.00;75.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ALS-derived metrics used in the manuscript ""Using Airborne Laser Scanning to characterize land-use systems in a tropical landscape based on vegetation structural metrics""";10.25625/TH5KEX;100.00;100.00;0.00;100.00;100.00;0.00;0.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;0.00;0.00;45.00;;66.67;100.00;75.00;60.00;66.67;100.00;100.00;100.00;100.00;100.00;0.00;100.00;50.00;50.00;50.00;100.00;75.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALS metrics for Landscape Assessment (LA) plots within LiDAR boundaries;10.25625/NWX23T;100.00;100.00;0.00;100.00;100.00;0.00;0.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;0.00;0.00;45.00;;66.67;100.00;75.00;60.00;66.67;100.00;100.00;100.00;100.00;100.00;0.00;100.00;50.00;50.00;50.00;100.00;75.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALS metrics for core plots;10.25625/AIKOI9;100.00;100.00;0.00;100.00;100.00;0.00;0.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;0.00;0.00;45.00;;66.67;100.00;75.00;60.00;66.67;100.00;100.00;100.00;100.00;100.00;0.00;100.00;50.00;50.00;50.00;100.00;75.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
