Dataset Name;Object Identifier;F1: FAIR Metrics Gen2- Unique Identifier;F1: FAIR Metrics Gen2 - Identifier Persistence;F1: FAIR Metrics Gen2 - Data Identifier Persistence;F2: FAIR Metrics Gen2 - Structured Metadata;F2: FAIR Metrics Gen2 - Grounded Metadata;F3: FAIR Metrics Gen2 - Data Identifier Explicitly In Metadata;F3: FAIR Metrics Gen2- Metadata Identifier Explicitly In Metadata;F4: FAIR Metrics Gen2 - Searchable in major search engine;A1.1: FAIR Metrics Gen2 - Uses open free protocol for data retrieval;A1.1: FAIR Metrics Gen2 - Uses open free protocol for metadata retrieval;A1.2: FAIR Metrics Gen2 - Data authentication and authorization;A1.2: FAIR Metrics Gen2 - Metadata authentication and authorization;A2: FAIR Metrics Gen2 - Metadata Persistence;I1: FAIR Metrics Gen2 - Metadata Knowledge Representation Language (weak);I1: FAIR Metrics Gen2 - Metadata Knowledge Representation Language (strong);I1: FAIR Metrics Gen2 - Data Knowledge Representation Language (weak);I1: FAIR Metrics Gen2 - Data Knowledge Representation Language (strong);I2: FAIR Metrics Gen2- Metadata uses FAIR vocabularies (weak);I2: FAIR Metrics Gen2 - Metadata uses FAIR vocabularies (strong);I3: FAIR Metrics Gen2 - Metadata contains qualified outward references);R1.1: FAIR Metrics Gen2 - Metadata Includes License (strong);R1.1: FAIR Metrics Gen2 - Metadata Includes License (weak);Average;Unnamed: 25;A;F;I;R;A1;F1;F2;F3;F4;I1;I2;I3;R1;R1.1;R1.2;R1.3;FAIR;0.00;1.00;2.00;3.00;4.00;5.00;6.00;7.00;8.00;9.00;10.00;11.00;12.00;13.00;14.00;15.00;16.00;17.00;18.00;19.00;20.00;21.00;22.00;23.00;24.00;25.00;26.00;27.00;28.00;29.00;30.00;31.00;32.00;33.00;34.00;35.00;36.00;37.00;38.00;39.00;40.00;41.00;42.00
Three-year zooplankton monitoring in ditches of the apple orchard region ‘Altes Land’;10.5073/20181213-163305;100.00;100.00;0.00;100.00;100.00;0.00;100.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;100.00;100.00;59.00;;33.33;85.71;75.00;50.00;33.33;100.00;100.00;0.00;100.00;100.00;0.00;100.00;25.00;100.00;50.00;50.00;62.50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NFI 2012 water budgets and drought stress indicators database;10.3220/DATA/20181108-095429;100.00;100.00;0.00;100.00;100.00;0.00;0.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;100.00;100.00;54.00;;33.33;57.14;100.00;50.00;33.33;100.00;50.00;0.00;50.00;100.00;100.00;100.00;25.00;100.00;50.00;50.00;58.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Neonicotinoid concentrations in guttation drops of seed treated maize (Zea mays) – field test 2010-2011;10.5073/20180907-142020;100.00;100.00;0.00;100.00;100.00;0.00;100.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;100.00;100.00;59.00;;33.33;71.43;75.00;50.00;33.33;100.00;50.00;0.00;100.00;100.00;0.00;100.00;25.00;100.00;50.00;50.00;58.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Trap captures data from the 7-year Drosophila suzukii monitoring program in southwest Germany;10.5073/20180809-110252;100.00;100.00;0.00;100.00;100.00;0.00;100.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;100.00;100.00;59.00;;33.33;85.71;75.00;50.00;33.33;100.00;100.00;0.00;100.00;100.00;0.00;100.00;25.00;100.00;50.00;50.00;62.50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BWI 2012 Umweltdatenbank  Klima;10.3220/DATA/20180823-102429;100.00;100.00;0.00;100.00;100.00;0.00;0.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;100.00;100.00;54.00;;50.00;57.14;100.00;40.00;50.00;100.00;50.00;0.00;50.00;100.00;100.00;100.00;25.00;50.00;50.00;50.00;56.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Microsatellite marker data of Apium graveolens L. ssp. graveolens;10.5073/20180820-154547;100.00;100.00;0.00;100.00;100.00;0.00;100.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;100.00;100.00;59.00;;33.33;85.71;75.00;50.00;33.33;100.00;100.00;0.00;100.00;100.00;0.00;100.00;25.00;100.00;50.00;50.00;62.50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Microsatellite marker data of Patellifolia patellaris, P. procumbens and P. webbiana;10.5073/20180816-152451;100.00;100.00;0.00;100.00;100.00;0.00;100.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;100.00;100.00;59.00;;33.33;85.71;75.00;50.00;33.33;100.00;100.00;0.00;100.00;100.00;0.00;100.00;25.00;100.00;50.00;50.00;62.50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data on lead content in different subsamples of roe deer and wild boar;10.17590/20180628-093013-0;100.00;100.00;0.00;100.00;100.00;0.00;100.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;100.00;100.00;59.00;;33.33;85.71;75.00;50.00;33.33;100.00;100.00;0.00;100.00;100.00;0.00;100.00;25.00;100.00;50.00;50.00;62.50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Dataset from Merz B, Frommherz L, Rist MJ, Kulling SE, Bub A, Watzl B. ""Dietary Pattern and Plasma BCAA-Variations in Healthy Men and Women – Results from the KarMeN Study""";10.25826/20180329-093323;100.00;100.00;0.00;100.00;100.00;0.00;100.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;100.00;100.00;59.00;;33.33;85.71;75.00;50.00;33.33;100.00;100.00;0.00;100.00;100.00;0.00;100.00;25.00;100.00;50.00;50.00;62.50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Three-year pesticide monitoring in ditches of the apple orchard region 'Altes Land';10.5073/20180213-144359;100.00;100.00;0.00;100.00;100.00;0.00;100.00;0.00;0.00;100.00;0.00;100.00;0.00;100.00;100.00;0.00;0.00;100.00;0.00;100.00;100.00;100.00;59.00;;33.33;85.71;75.00;50.00;33.33;100.00;100.00;0.00;100.00;100.00;0.00;100.00;25.00;100.00;50.00;50.00;62.50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
