Dataset Name;Object Identifier;F1: FAIR Metrics Gen2- Unique Identifier;F1: FAIR Metrics Gen2 - Identifier Persistence;F1: FAIR Metrics Gen2 - Data Identifier Persistence;F2: FAIR Metrics Gen2 - Structured Metadata;F2: FAIR Metrics Gen2 - Grounded Metadata;F3: FAIR Metrics Gen2 - Data Identifier Explicitly In Metadata;F3: FAIR Metrics Gen2- Metadata Identifier Explicitly In Metadata;F4: FAIR Metrics Gen2 - Searchable in major search engine;A1.1: FAIR Metrics Gen2 - Uses open free protocol for data retrieval;A1.1: FAIR Metrics Gen2 - Uses open free protocol for metadata retrieval;A1.2: FAIR Metrics Gen2 - Data authentication and authorization;A1.2: FAIR Metrics Gen2 - Metadata authentication and authorization;A2: FAIR Metrics Gen2 - Metadata Persistence;I1: FAIR Metrics Gen2 - Metadata Knowledge Representation Language (weak);I1: FAIR Metrics Gen2 - Metadata Knowledge Representation Language (strong);I1: FAIR Metrics Gen2 - Data Knowledge Representation Language (weak);I1: FAIR Metrics Gen2 - Data Knowledge Representation Language (strong);I2: FAIR Metrics Gen2- Metadata uses FAIR vocabularies (weak);I2: FAIR Metrics Gen2 - Metadata uses FAIR vocabularies (strong);I3: FAIR Metrics Gen2 - Metadata contains qualified outward references);R1.1: FAIR Metrics Gen2 - Metadata Includes License (strong);R1.1: FAIR Metrics Gen2 - Metadata Includes License (weak);Average;;A;F;I;R;A1;F1;F2;F3;F4;I1;I2;I3;R1;R1.1;R1.2;R1.3;FAIR
Trichoderma afroharzianum Genome sequencing and assembly;10.1016/j.ijfoodmicro.2018.04.021;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;100;100;0;0;54;;33.33;35.71;50.0;10.0;33.33;100.0;25.0;0.0;0.0;50.0;100.0;0.0;0.0;0.0;0.0;50.0;27.08
Long term monitoring of a SCR system in a research biogas plant;10.17632/tfzxxfsdt6.1;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;0;100;50;;66.67;85.71;75.0;50.0;66.67;100.0;100.0;0.0;100.0;100.0;0.0;100.0;25.0;100.0;50.0;50.0;66.67
Pomological and molecular characterization of sweet cherry cultivars (Prunus avium L.) of the German Fruit Genebank;10.5073/20210209-092933;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;0;100;0;0;50;;50.0;85.71;75.0;30.0;50.0;100.0;100.0;0.0;100.0;100.0;0.0;100.0;25.0;0.0;50.0;50.0;56.25
Quantification of European Biomass Potentials;10.48480/pc11-xz36;100;100;0;100;100;0;100;0;0;100;0;100;0;100;100;0;0;100;0;100;100;100;59;;66.67;71.43;50.0;50.0;66.67;100.0;50.0;0.0;100.0;100.0;0.0;0.0;25.0;100.0;50.0;50.0;58.33
Survey of farmers on their perception of soil compaction and application of soil conservation measures;10.20387/bonares-k85p-tr5n;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;0;100;50;;33.33;71.43;50.0;50.0;33.33;100.0;50.0;0.0;100.0;50.0;0.0;100.0;25.0;100.0;50.0;50.0;54.17
AHOI v22.01;10.6084/m9.figshare.3458837.v3;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;0;100;50;;66.67;100.0;75.0;60.0;66.67;100.0;100.0;100.0;100.0;100.0;0.0;100.0;25.0;100.0;50.0;100.0;75.0
Landscape Assessment (LA) centre plot coordinates;10.25625/SSN6RO;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;0;0;45;;66.67;100.0;75.0;60.0;66.67;100.0;100.0;100.0;100.0;100.0;0.0;100.0;50.0;50.0;50.0;100.0;75.0
ALS-derived metrics used in the manuscript "Using Airborne Laser Scanning to characterize land-use systems in a tropical landscape based on vegetation structural metrics";10.25625/TH5KEX;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;0;0;45;;66.67;100.0;75.0;60.0;66.67;100.0;100.0;100.0;100.0;100.0;0.0;100.0;50.0;50.0;50.0;100.0;75.0
ALS metrics for Landscape Assessment (LA) plots within LiDAR boundaries;10.25625/NWX23T;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;0;0;45;;66.67;100.0;75.0;60.0;66.67;100.0;100.0;100.0;100.0;100.0;0.0;100.0;50.0;50.0;50.0;100.0;75.0
ALS metrics for core plots;10.25625/AIKOI9;100;100;0;100;100;0;0;0;0;100;0;100;0;100;100;0;0;100;0;100;0;0;45;;66.67;100.0;75.0;60.0;66.67;100.0;100.0;100.0;100.0;100.0;0.0;100.0;50.0;50.0;50.0;100.0;75.0
